time,calc_time
1.00,0.19
9.00,0.08
19.00,0.09
29.00,0.10
39.00,0.09
49.00,0.10
59.00,0.09
69.00,0.09
79.00,0.09
89.00,0.10
99.00,0.10
109.00,0.08
119.00,0.08
129.00,0.07
139.00,0.10
149.00,0.07
159.00,0.08
169.00,0.09
179.00,0.09
189.00,0.07
199.00,0.09
209.00,0.09
219.00,0.08
229.00,0.08
239.00,0.11
249.00,0.09
259.00,0.09
269.00,0.08
279.00,0.10
289.00,0.11
299.00,0.08
309.00,0.10
319.00,0.08
329.00,0.08
339.00,0.09
349.00,0.09
359.00,0.09
369.00,0.11
379.00,0.09
389.00,0.07
399.00,0.08
409.00,0.11
419.00,0.17
429.00,0.09
439.00,0.08
449.00,0.16
459.00,0.07
469.00,0.10
479.00,0.14
489.00,0.12
499.00,0.08
