time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,45.31,0.00,1
3,0.00,0.00,0.00,0.00,53.84,0.00,1
5,0.00,0.00,0.00,0.00,56.50,0.00,1
7,0.00,0.00,0.00,0.00,58.51,0.00,1
9,0.00,0.00,0.00,0.00,57.93,0.00,1
11,0.00,0.00,0.00,0.00,57.79,0.00,1
13,0.00,0.00,0.00,0.00,53.99,0.00,1
15,0.00,0.00,0.02,0.25,50.72,0.00,1
17,0.51,2.04,0.25,2.25,46.57,1.00,1
19,1.15,4.59,0.47,4.25,40.44,2.00,1
21,1.35,4.55,0.72,6.25,34.88,0.00,3
23,3.66,5.18,1.51,8.25,30.39,2.00,3
25,5.75,8.67,2.14,10.25,31.67,0.00,3
27,5.42,10.90,3.00,12.25,29.02,2.00,3
29,5.86,10.88,2.17,9.70,27.06,0.00,3
31,8.60,12.99,3.14,11.70,29.57,0.00,3
33,10.33,18.14,4.14,13.70,29.38,0.00,3
35,11.49,18.04,5.14,15.70,29.16,0.00,3
37,11.47,18.04,6.26,17.70,29.23,2.00,3
39,11.47,18.04,7.27,19.70,27.53,1.00,3
41,11.47,18.04,8.41,21.70,24.45,0.00,3
43,12.31,18.04,9.68,23.70,20.60,0.00,3
45,12.90,18.04,11.15,25.70,21.63,2.00,2
47,14.41,24.16,12.46,27.70,20.53,1.00,2
49,14.74,24.20,13.71,29.70,21.14,0.00,2
51,15.85,24.20,15.24,31.70,22.03,2.00,2
53,14.55,24.20,14.70,33.70,22.47,2.00,2
55,15.81,24.20,13.09,35.70,22.90,1.00,4
57,15.77,24.20,13.77,37.70,19.45,1.00,4
59,17.02,29.28,14.75,39.70,18.39,0.00,4
61,14.43,32.73,15.92,41.70,19.12,2.00,4
63,14.75,36.86,14.19,39.48,18.21,1.00,4
65,16.73,36.80,12.62,41.48,16.91,1.00,1
67,16.69,36.80,13.02,43.48,15.31,0.00,1
69,17.78,36.80,13.98,45.48,17.36,1.00,1
71,18.40,36.80,14.77,47.48,17.63,2.00,1
73,20.93,41.91,12.95,43.67,17.29,2.00,1
75,21.03,42.53,12.88,44.31,16.53,2.00,1
77,17.77,36.79,9.86,33.13,16.90,2.00,1
79,16.52,36.79,8.46,30.38,21.01,1.00,1
81,17.19,36.79,9.15,32.38,19.52,1.00,1
83,19.13,36.79,8.57,34.38,17.54,1.00,1
