time,calc_time
1.00,0.14
9.00,0.08
19.00,0.07
29.00,0.08
39.00,0.06
49.00,0.06
59.00,0.06
69.00,0.07
79.00,0.07
89.00,0.07
99.00,0.07
109.00,0.07
119.00,0.06
129.00,0.07
139.00,0.08
149.00,0.08
159.00,0.07
169.00,0.07
179.00,0.06
189.00,0.07
199.00,0.07
209.00,0.08
219.00,0.07
229.00,0.07
239.00,0.06
249.00,0.06
259.00,0.07
269.00,0.07
279.00,0.07
289.00,0.07
299.00,0.07
309.00,0.07
319.00,0.07
329.00,0.06
339.00,0.07
349.00,0.06
359.00,0.08
369.00,0.06
379.00,0.06
389.00,0.06
399.00,0.06
409.00,0.07
419.00,0.06
429.00,0.07
439.00,0.07
449.00,0.07
459.00,0.07
469.00,0.07
479.00,0.07
489.00,0.07
499.00,0.07
509.00,0.07
519.00,0.07
529.00,0.08
539.00,0.07
549.00,0.07
559.00,0.06
569.00,0.06
579.00,0.06
589.00,0.06
599.00,0.06
609.00,0.08
619.00,0.07
629.00,0.06
639.00,0.07
649.00,0.07
659.00,0.07
669.00,0.07
679.00,0.07
689.00,0.07
699.00,0.07
709.00,0.06
719.00,0.06
729.00,0.06
739.00,0.06
749.00,0.07
759.00,0.06
769.00,0.07
779.00,0.07
789.00,0.06
799.00,0.06
809.00,0.08
819.00,0.08
829.00,0.07
839.00,0.08
849.00,0.07
859.00,0.06
869.00,0.07
879.00,0.06
889.00,0.07
899.00,0.06
909.00,0.07
919.00,0.07
929.00,0.07
939.00,0.08
949.00,0.07
959.00,0.06
969.00,0.07
979.00,0.06
989.00,0.07
999.00,0.06
