time,calc_time
1.00,0.16
9.00,0.07
19.00,0.07
29.00,0.06
39.00,0.07
49.00,0.07
59.00,0.07
69.00,0.06
79.00,0.07
89.00,0.07
99.00,0.07
109.00,0.07
119.00,0.06
129.00,0.08
139.00,0.08
149.00,0.06
159.00,0.07
169.00,0.07
179.00,0.13
189.00,0.16
199.00,0.07
209.00,0.07
219.00,0.07
229.00,0.07
239.00,0.06
249.00,0.07
259.00,0.07
269.00,0.07
279.00,0.07
289.00,0.07
299.00,0.07
309.00,0.07
319.00,0.07
329.00,0.07
339.00,0.07
349.00,0.06
359.00,0.07
369.00,0.07
379.00,0.07
389.00,0.07
399.00,0.06
409.00,0.07
419.00,0.07
429.00,0.07
439.00,0.07
449.00,0.07
459.00,0.07
469.00,0.07
479.00,0.07
489.00,0.08
499.00,0.06
