time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,0.00,42.20,1
5,0.00,0.00,0.00,0.00,0.00,50.35,1
7,0.00,0.00,0.00,0.00,0.00,57.97,1
9,0.00,0.00,0.00,0.00,0.00,58.58,1
11,0.00,0.00,0.00,0.00,0.00,60.06,1
13,0.00,0.00,0.00,0.00,0.00,58.64,1
15,0.00,0.00,0.00,0.00,0.00,57.76,1
17,0.00,0.00,0.03,0.02,0.41,53.32,1
19,0.00,0.00,0.24,0.20,2.41,55.96,8
21,0.00,0.00,0.14,0.26,1.73,48.67,8
23,0.00,0.00,0.14,0.26,1.72,39.36,8
25,1.43,4.79,0.47,0.85,3.72,36.86,8
27,2.27,7.16,1.16,1.85,5.72,28.92,1
29,6.54,16.06,1.26,1.74,5.96,28.78,1
31,7.74,17.31,1.93,2.54,7.96,28.78,1
33,10.66,21.77,2.76,3.44,9.96,29.76,1
35,12.03,24.80,3.62,4.35,11.96,32.88,1
37,12.81,28.49,3.85,3.97,10.89,36.33,1
39,4.89,19.30,4.10,4.52,12.89,37.30,1
41,3.19,7.27,3.70,3.69,11.27,35.70,1
43,4.73,10.80,3.09,2.78,13.27,35.96,1
45,6.13,13.64,3.10,2.53,15.27,35.56,2
47,8.22,17.68,3.40,3.11,17.27,34.40,2
49,10.36,22.88,4.33,4.18,19.27,33.92,2
51,11.42,25.32,5.12,5.36,21.27,31.22,2
53,10.46,29.59,6.14,6.40,23.27,28.73,2
55,8.88,13.42,5.60,6.14,25.27,27.06,2
57,7.21,17.99,6.05,6.29,27.27,24.35,5
59,8.25,20.19,6.78,6.79,29.27,22.63,5
61,10.32,24.40,7.60,7.46,31.27,20.82,5
63,11.94,28.33,8.78,8.80,33.27,20.12,5
65,16.41,36.90,8.36,8.96,18.59,20.05,5
67,17.49,36.54,8.34,9.75,20.59,18.87,5
69,10.56,16.82,8.58,9.93,22.59,16.88,1
71,8.34,16.82,8.48,10.67,24.59,18.03,1
73,9.45,16.82,9.32,11.87,26.59,21.43,1
75,12.76,22.48,8.83,11.21,27.18,23.92,1
77,12.24,20.52,10.16,12.81,29.18,26.85,2
79,11.36,23.06,8.49,9.01,22.85,27.56,2
81,11.55,23.82,8.16,9.21,24.85,30.33,2
83,11.65,26.80,9.16,10.21,26.85,32.30,2
85,11.59,35.24,8.07,8.69,28.72,31.33,2
87,11.23,33.78,6.23,5.54,30.72,30.40,2
89,6.12,11.14,6.90,5.90,32.72,28.33,2
91,8.74,13.77,7.73,6.38,34.72,23.79,1
93,11.80,20.10,8.37,7.37,36.72,24.73,1
95,13.88,28.45,9.02,7.18,38.72,26.37,1
97,15.21,33.77,10.52,8.48,40.72,25.34,1
99,15.61,35.40,10.91,9.12,42.72,25.80,1
101,12.62,35.40,12.41,10.62,44.72,22.37,1
103,13.57,38.26,13.92,11.81,46.72,21.85,1
105,16.71,38.97,14.79,11.77,48.72,23.92,1
107,11.32,24.12,15.40,11.27,50.72,22.68,1
109,13.46,32.70,16.04,12.06,52.72,19.94,6
111,14.78,32.83,15.95,11.03,54.72,19.12,6
113,17.48,43.69,16.75,11.91,56.72,22.52,6
