time,queue_main,queue_right,queue_avg,queue_max,delay_route_1,delay_route_2,delay_route_3,delay_avg_1,delay_avg_2,delay_max,speed,outflow
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.75,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.90,0.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.66,0.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.92,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.05,0.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.37,0.00
19,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.10,0.13,0.31,30.40,1.00
21,0.00,1.18,0.59,1.18,0.19,0.00,1.24,0.48,0.26,1.24,19.32,0.00
23,0.00,5.30,2.65,5.30,2.19,1.31,3.24,2.25,1.96,3.24,3.36,1.00
25,6.56,5.19,5.87,6.56,1.74,3.31,5.24,3.43,2.91,5.24,19.09,0.00
27,10.83,5.19,8.01,10.83,3.74,5.31,7.24,5.43,4.91,7.24,22.19,0.00
29,10.78,5.19,7.98,10.78,5.74,7.31,9.24,7.43,6.91,9.24,24.50,0.00
31,10.78,5.19,7.98,10.78,7.74,9.31,11.24,9.43,8.91,11.24,24.38,0.00
33,10.78,5.19,7.98,10.78,9.74,11.31,13.24,11.43,10.91,13.24,22.83,0.00
35,10.78,4.86,7.82,10.78,11.74,13.31,15.24,13.43,12.91,15.24,26.85,0.00
37,10.78,0.00,5.39,10.78,13.74,15.31,17.24,15.43,14.91,17.24,22.80,1.00
39,11.14,0.00,5.57,11.14,15.74,17.31,0.00,11.02,14.16,17.31,17.23,0.00
41,17.32,0.00,8.66,17.32,17.74,19.31,0.85,12.63,16.00,19.31,25.61,1.00
43,17.09,0.00,8.55,17.09,19.74,21.31,0.00,13.68,17.59,21.31,23.07,0.00
45,17.09,0.00,8.55,17.09,21.74,23.31,0.00,15.02,19.31,23.31,31.00,0.00
47,17.08,0.00,8.54,17.08,23.74,25.31,0.00,16.35,21.02,25.31,39.33,1.00
49,7.36,0.00,3.68,7.36,25.74,11.78,0.00,12.50,16.08,25.74,41.45,1.00
