time,phase
799.0,3.0
801.0,2.0
803.0,2.0
805.0,2.0
807.0,2.0
809.0,2.0
811.0,2.0
813.0,1.0
815.0,1.0
817.0,1.0
819.0,1.0
821.0,1.0
823.0,1.0
825.0,1.0
827.0,1.0
829.0,8.0
831.0,8.0
833.0,8.0
835.0,8.0
837.0,8.0
839.0,8.0
841.0,1.0
843.0,1.0
845.0,1.0
847.0,1.0
849.0,1.0
851.0,1.0
853.0,2.0
855.0,2.0
857.0,2.0
859.0,2.0
861.0,2.0
863.0,2.0
865.0,2.0
867.0,2.0
869.0,2.0
871.0,2.0
873.0,7.0
875.0,7.0
877.0,7.0
879.0,7.0
881.0,7.0
883.0,7.0
885.0,7.0
887.0,7.0
889.0,7.0
891.0,7.0
893.0,2.0
895.0,2.0
897.0,2.0
899.0,2.0
901.0,2.0
903.0,2.0
905.0,2.0
907.0,2.0
909.0,2.0
911.0,2.0
913.0,3.0
915.0,3.0
917.0,3.0
919.0,3.0
921.0,3.0
923.0,3.0
925.0,1.0
927.0,1.0
929.0,1.0
931.0,1.0
933.0,1.0
935.0,1.0
937.0,1.0
939.0,1.0
941.0,1.0
943.0,1.0
945.0,2.0
947.0,2.0
949.0,2.0
951.0,2.0
953.0,2.0
955.0,2.0
957.0,2.0
959.0,2.0
961.0,2.0
963.0,2.0
965.0,4.0
967.0,4.0
969.0,4.0
971.0,4.0
973.0,1.0
975.0,1.0
977.0,1.0
979.0,1.0
981.0,1.0
983.0,1.0
985.0,1.0
987.0,1.0
989.0,1.0
991.0,1.0
993.0,8.0
995.0,8.0
997.0,8.0
999.0,8.0
