time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
263,44.04,97.15,32.84,90.35,7.91,4
265,44.69,100.04,32.21,92.35,8.59,4
267,43.68,97.34,33.65,94.35,9.69,4
269,40.45,81.79,32.53,91.74,12.16,4
271,39.72,74.65,33.22,85.67,11.14,1
273,41.92,81.09,33.17,74.26,13.04,1
275,42.78,81.78,31.22,66.40,11.06,1
277,45.35,86.96,30.22,57.86,11.99,1
279,47.63,98.59,30.51,53.10,12.90,1
281,44.84,100.74,29.56,55.10,15.20,1
283,47.11,107.47,30.45,57.10,15.78,1
285,47.09,107.53,29.00,59.10,18.05,1
287,36.00,105.96,30.87,61.10,18.65,3
289,27.04,70.24,29.68,63.10,17.06,3
291,20.08,41.40,27.21,65.10,18.40,3
293,22.03,47.73,25.89,67.10,19.05,3
295,17.49,49.06,26.94,69.10,16.51,3
297,21.21,55.38,28.21,71.10,16.77,3
299,27.36,74.30,25.83,73.10,15.89,2
301,28.52,79.10,24.44,75.10,17.68,2
303,29.01,81.53,25.90,77.10,17.67,2
305,30.23,86.41,24.05,79.10,17.44,2
307,30.75,87.34,23.53,81.10,17.54,2
309,33.82,93.54,21.74,83.10,16.86,2
311,34.05,94.60,23.20,85.10,17.57,4
313,36.21,99.81,24.79,87.10,19.52,4
315,37.14,106.29,26.38,89.10,18.97,4
317,37.20,106.38,22.62,71.21,19.60,4
319,38.78,106.38,23.34,66.46,20.21,4
321,39.14,106.38,24.71,66.43,18.84,4
323,39.98,106.38,25.83,66.17,16.74,1
325,41.21,106.38,26.98,64.71,15.05,1
327,44.57,110.29,26.52,52.53,12.82,1
329,46.47,113.06,25.21,50.12,13.98,1
331,48.51,113.04,26.17,52.12,15.20,1
333,51.30,113.04,26.22,54.12,18.21,1
335,52.09,116.40,27.58,56.12,16.54,3
337,53.54,117.86,27.64,58.12,19.09,3
339,35.57,43.47,24.60,60.12,19.80,3
341,32.45,43.47,25.07,62.12,19.02,3
343,33.65,43.47,25.64,64.12,16.65,3
345,21.77,32.32,26.46,66.12,14.25,3
347,21.95,31.13,27.50,68.12,9.86,3
349,26.86,38.82,28.30,70.12,12.63,3
351,30.61,44.98,28.51,72.12,15.97,2
353,34.68,49.85,26.59,74.12,17.73,2
355,36.22,53.95,27.95,76.12,17.34,2
357,36.90,56.69,28.74,78.12,17.11,2
359,33.61,56.67,28.39,80.12,15.15,2
361,31.56,61.54,26.51,82.12,15.98,2
363,33.90,71.05,25.82,84.12,16.41,4
365,36.34,76.20,,86.12,18.09,4
367,39.05,76.15,,88.12,16.35,4
369,42.64,76.15,,82.78,15.22,4
371,43.46,76.15,,75.71,15.05,1
373,44.78,76.15,,73.28,13.77,1
375,47.49,76.15,,63.54,13.64,1
377,50.73,80.20,,65.54,14.85,1
379,49.25,81.12,,67.54,16.43,1
381,51.11,90.75,,69.54,14.76,1
383,44.02,97.60,,71.54,13.35,1
385,44.57,109.19,,73.54,13.09,3
387,49.27,124.36,,75.54,14.51,3
389,53.99,135.80,,77.54,14.65,3
391,54.41,144.46,,79.54,14.97,3
393,58.08,154.48,,81.54,15.16,3
395,62.53,166.58,,83.54,14.70,3
397,65.77,175.61,,85.54,13.36,3
399,68.29,175.49,,87.54,13.08,2
401,71.25,175.49,,89.54,12.43,2
403,74.42,175.45,,91.54,11.53,2
405,75.37,175.43,,93.54,11.45,2
407,76.73,178.38,,95.54,10.10,4
409,81.80,182.69,,97.54,8.94,4
411,84.89,190.86,,99.54,8.87,4
413,91.34,200.24,,67.15,10.48,4
415,81.34,153.67,,69.63,11.95,4
417,54.70,157.89,,59.11,11.91,1
419,58.26,166.21,,57.42,11.71,1
421,62.70,180.97,,59.42,11.57,1
423,65.95,188.36,,50.69,13.25,1
425,61.71,188.15,,52.69,12.42,1
427,63.44,188.15,,54.69,13.24,3
429,67.29,195.82,,56.69,13.29,3
431,64.92,189.23,,58.69,11.80,3
433,70.37,200.04,,60.69,10.99,3
435,75.69,202.70,,62.69,10.43,3
437,75.85,200.96,,64.69,9.34,3
439,63.29,200.88,,66.69,9.29,3
441,62.58,200.88,,68.69,9.57,3
443,64.53,200.88,,70.69,10.21,2
445,65.28,200.88,,72.69,8.61,2
