id,road_id,link_id,type
1,1,1,main
2,2,2,main
3,3,3,main
4,4,4,main
5,5,5,main
6,6,6,main
7,7,7,main
8,8,8,main
9,1,9,right
10,4,10,right
11,5,11,right
12,8,12,right
