time,calc_time
1.00,0.18
9.00,0.08
19.00,0.10
29.00,0.11
39.00,0.08
49.00,0.11
59.00,0.09
69.00,0.12
79.00,0.12
89.00,0.09
99.00,0.09
109.00,0.11
119.00,0.08
129.00,0.10
139.00,0.09
149.00,0.09
159.00,0.07
169.00,0.08
179.00,0.20
189.00,0.10
199.00,0.08
209.00,0.07
219.00,0.07
229.00,0.09
239.00,0.10
249.00,0.09
259.00,0.09
269.00,0.10
279.00,0.08
289.00,0.08
299.00,0.07
309.00,0.09
319.00,0.08
329.00,0.10
339.00,0.09
349.00,0.07
359.00,0.09
369.00,0.09
379.00,0.09
389.00,0.08
399.00,0.10
409.00,0.09
419.00,0.10
429.00,0.09
439.00,0.09
449.00,0.09
459.00,0.10
469.00,0.08
479.00,0.08
489.00,0.09
499.00,0.09
