time,calculation_time
1.0,0.015825271606445312
5.0,0.031845808029174805
9.0,0.006620883941650391
13.0,0.028968095779418945
17.0,0.016138553619384766
21.0,0.0159299373626709
25.0,0.02399158477783203
29.0,0.009769439697265625
33.0,0.026340246200561523
37.0,0.015102386474609375
41.0,0.031495094299316406
45.0,0.0167539119720459
49.0,0.030946969985961914
53.0,0.031563758850097656
57.0,0.031766653060913086
61.0,0.07932758331298828
65.0,0.07470917701721191
69.0,0.03706622123718262
73.0,0.0791621208190918
77.0,0.07961726188659668
81.0,0.03165698051452637
85.0,0.06355118751525879
89.0,0.04199504852294922
93.0,0.0635380744934082
97.0,0.06725430488586426
101.0,0.028832435607910156
105.0,0.08406758308410645
109.0,0.09021401405334473
113.0,0.09501814842224121
117.0,0.11085367202758789
121.0,0.04742908477783203
125.0,0.11093640327453613
129.0,0.12441658973693848
133.0,0.1182546615600586
137.0,0.14414739608764648
141.0,0.06734395027160645
145.0,0.14031767845153809
149.0,0.08855485916137695
153.0,0.1162264347076416
157.0,0.14917588233947754
161.0,0.14547181129455566
165.0,0.07976627349853516
169.0,0.17025279998779297
173.0,0.18140196800231934
177.0,0.08658075332641602
181.0,0.20107245445251465
185.0,0.2387218475341797
189.0,0.21910333633422852
193.0,0.19097661972045898
197.0,0.20621132850646973
201.0,0.11105132102966309
205.0,0.19986629486083984
209.0,0.09409427642822266
213.0,0.20110058784484863
217.0,0.19190597534179688
221.0,0.22030973434448242
225.0,0.09338116645812988
229.0,0.20612835884094238
233.0,0.20625567436218262
237.0,0.1963365077972412
241.0,0.0759439468383789
245.0,0.2064213752746582
249.0,0.07916617393493652
253.0,0.21911120414733887
257.0,0.17950201034545898
261.0,0.2122042179107666
265.0,0.09304547309875488
269.0,0.17416119575500488
273.0,0.08321928977966309
277.0,0.16080570220947266
281.0,0.19389629364013672
285.0,0.22160768508911133
289.0,0.10821652412414551
293.0,0.24289894104003906
297.0,0.21118545532226562
301.0,0.1105344295501709
305.0,0.2198176383972168
309.0,0.20026469230651855
313.0,0.09496712684631348
317.0,0.1746225357055664
321.0,0.13311219215393066
325.0,0.16230177879333496
329.0,0.15813279151916504
333.0,0.09731554985046387
337.0,0.15455031394958496
341.0,0.1021881103515625
345.0,0.11249732971191406
349.0,0.22195816040039062
353.0,0.25293445587158203
357.0,0.24105048179626465
361.0,0.09122967720031738
365.0,0.18964672088623047
369.0,0.10086822509765625
373.0,0.2058560848236084
377.0,0.20702004432678223
381.0,0.222306489944458
385.0,0.20404624938964844
389.0,0.18695592880249023
393.0,0.07915925979614258
397.0,0.1911780834197998
401.0,0.10996055603027344
405.0,0.22720003128051758
409.0,0.21811771392822266
413.0,0.10244560241699219
417.0,0.20514202117919922
421.0,0.19015192985534668
425.0,0.1845228672027588
429.0,0.09148502349853516
433.0,0.1615140438079834
437.0,0.16815447807312012
441.0,0.2384195327758789
445.0,0.08997249603271484
449.0,0.18974542617797852
453.0,0.19962382316589355
457.0,0.08962321281433105
461.0,0.18402504920959473
465.0,0.1700141429901123
469.0,0.09383082389831543
473.0,0.13565874099731445
477.0,0.11319303512573242
481.0,0.07445383071899414
485.0,0.1268174648284912
489.0,0.13260221481323242
493.0,0.04764699935913086
497.0,0.12259864807128906
