time,calculation_time
13.0,0.023610353469848633
17.0,0.015971660614013672
21.0,0.015703678131103516
25.0,0.04809284210205078
29.0,0.015764951705932617
33.0,0.03599381446838379
37.0,0.00886845588684082
41.0,0.009205818176269531
45.0,0.015753984451293945
49.0,0.03205060958862305
53.0,0.038271427154541016
57.0,0.04083108901977539
61.0,0.03150033950805664
65.0,0.050814151763916016
69.0,0.054160118103027344
73.0,0.029810667037963867
77.0,0.0327761173248291
81.0,0.07746648788452148
85.0,0.054807424545288086
89.0,0.03730630874633789
93.0,0.051323652267456055
97.0,0.07577824592590332
101.0,0.0708305835723877
105.0,0.07505965232849121
109.0,0.08917927742004395
113.0,0.07476687431335449
117.0,0.07507133483886719
121.0,0.12042617797851562
125.0,0.20975399017333984
129.0,0.302670955657959
133.0,0.14253616333007812
137.0,0.2901606559753418
141.0,0.2530174255371094
145.0,0.15857386589050293
149.0,0.26901817321777344
153.0,0.28504371643066406
157.0,0.2575364112854004
161.0,0.1351461410522461
165.0,0.2369394302368164
169.0,0.2539331912994385
173.0,0.15878582000732422
177.0,0.3472778797149658
181.0,0.2879452705383301
185.0,0.13172388076782227
189.0,0.2373061180114746
193.0,0.2064528465270996
197.0,0.27237534523010254
201.0,0.14483428001403809
205.0,0.33327341079711914
209.0,0.4906010627746582
213.0,0.20570111274719238
217.0,0.38573527336120605
221.0,0.46500587463378906
225.0,0.39811205863952637
229.0,0.20583152770996094
233.0,0.3629419803619385
237.0,0.37874555587768555
241.0,0.36186695098876953
245.0,0.36742353439331055
249.0,0.1738147735595703
253.0,0.26038122177124023
257.0,0.363328218460083
261.0,0.24904417991638184
265.0,0.17648768424987793
269.0,0.26017165184020996
273.0,0.3312814235687256
277.0,0.38076162338256836
281.0,0.1265408992767334
285.0,0.43935465812683105
289.0,0.15570354461669922
293.0,0.31597304344177246
297.0,0.26457715034484863
301.0,0.3380000591278076
305.0,0.3162820339202881
309.0,0.14307379722595215
313.0,0.2856409549713135
317.0,0.3139076232910156
321.0,0.29945802688598633
325.0,0.17435765266418457
329.0,0.3482856750488281
333.0,0.3973045349121094
337.0,0.36460137367248535
341.0,0.2093644142150879
345.0,0.44225430488586426
349.0,0.4335322380065918
353.0,0.2861909866333008
357.0,0.42956042289733887
361.0,0.25397419929504395
365.0,0.4727907180786133
369.0,0.4900240898132324
373.0,0.42369723320007324
377.0,0.2213606834411621
381.0,0.3811020851135254
385.0,0.5387651920318604
389.0,0.17217063903808594
393.0,0.23789262771606445
397.0,0.35741615295410156
401.0,0.18733859062194824
405.0,0.5119330883026123
409.0,0.3717806339263916
413.0,0.32829976081848145
417.0,0.14840245246887207
421.0,0.2509894371032715
425.0,0.2584354877471924
429.0,0.15818428993225098
433.0,0.2145991325378418
437.0,0.2641470432281494
441.0,0.13902807235717773
445.0,0.3033297061920166
449.0,0.30860042572021484
453.0,0.3074920177459717
457.0,0.4086785316467285
461.0,0.19010710716247559
465.0,0.36574840545654297
469.0,0.2613534927368164
473.0,0.23740911483764648
477.0,0.34789156913757324
481.0,0.3602294921875
485.0,0.20616459846496582
489.0,0.3647336959838867
493.0,0.3442392349243164
497.0,0.16740727424621582
501.0,0.37984275817871094
505.0,0.38045644760131836
509.0,0.34369802474975586
513.0,0.3795316219329834
517.0,0.45735716819763184
521.0,0.18994808197021484
525.0,0.371396541595459
529.0,0.41955089569091797
533.0,0.15148115158081055
537.0,0.23776721954345703
541.0,0.21944022178649902
545.0,0.1785447597503662
549.0,0.4391441345214844
553.0,0.32386302947998047
557.0,0.2058730125427246
561.0,0.39615416526794434
565.0,0.31301164627075195
569.0,0.1361863613128662
573.0,0.2597949504852295
577.0,0.27758240699768066
581.0,0.259535551071167
585.0,0.33173465728759766
589.0,0.14017796516418457
593.0,0.22815942764282227
597.0,0.16569042205810547
601.0,0.16137242317199707
605.0,0.4125983715057373
609.0,0.24455833435058594
613.0,0.2645907402038574
617.0,0.38341379165649414
621.0,0.4065268039703369
625.0,0.3315713405609131
629.0,0.22179746627807617
633.0,0.35480308532714844
637.0,0.3486635684967041
641.0,0.2334883213043213
645.0,0.36467599868774414
649.0,0.3187437057495117
653.0,0.3778069019317627
657.0,0.23810148239135742
661.0,0.40121936798095703
665.0,0.4126598834991455
669.0,0.4634437561035156
673.0,0.4464290142059326
677.0,0.28588151931762695
681.0,0.5079176425933838
685.0,0.5546724796295166
689.0,0.3634762763977051
693.0,0.3434932231903076
697.0,0.5232658386230469
701.0,0.6639828681945801
705.0,0.5376031398773193
709.0,0.32364416122436523
713.0,0.5119137763977051
717.0,0.5416309833526611
721.0,0.31403470039367676
725.0,0.36345601081848145
729.0,0.5793707370758057
733.0,0.5542185306549072
737.0,0.6516332626342773
741.0,0.505852222442627
745.0,0.2852301597595215
749.0,0.46037721633911133
753.0,0.4109175205230713
757.0,0.4749417304992676
761.0,0.2750406265258789
765.0,0.48897385597229004
769.0,0.43338561058044434
773.0,0.5370810031890869
777.0,0.5306828022003174
781.0,0.40021276473999023
785.0,0.40137195587158203
789.0,0.27695751190185547
793.0,0.41298723220825195
797.0,0.2051384449005127
801.0,0.35677385330200195
805.0,0.3108220100402832
809.0,0.4403505325317383
813.0,0.331561803817749
817.0,0.29686760902404785
821.0,0.1905815601348877
825.0,0.3159611225128174
829.0,0.25848984718322754
833.0,0.13816308975219727
837.0,0.34933018684387207
841.0,0.15651273727416992
845.0,0.28425025939941406
849.0,0.3785724639892578
853.0,0.4209859371185303
857.0,0.17678284645080566
861.0,0.3121681213378906
865.0,0.34340381622314453
869.0,0.3940000534057617
