time,phase
799.0,7.0
801.0,2.0
803.0,2.0
805.0,2.0
807.0,2.0
809.0,2.0
811.0,2.0
813.0,2.0
815.0,2.0
817.0,5.0
819.0,5.0
821.0,5.0
823.0,5.0
825.0,5.0
827.0,5.0
829.0,7.0
831.0,7.0
833.0,7.0
835.0,7.0
837.0,7.0
839.0,7.0
841.0,7.0
843.0,7.0
845.0,2.0
847.0,2.0
849.0,2.0
851.0,2.0
853.0,2.0
855.0,4.0
857.0,4.0
859.0,4.0
861.0,4.0
863.0,5.0
865.0,5.0
867.0,5.0
869.0,5.0
871.0,8.0
873.0,8.0
875.0,8.0
877.0,8.0
879.0,6.0
881.0,6.0
883.0,6.0
885.0,6.0
887.0,7.0
889.0,7.0
891.0,7.0
893.0,7.0
895.0,7.0
897.0,7.0
899.0,7.0
901.0,1.0
903.0,1.0
905.0,1.0
907.0,1.0
909.0,1.0
911.0,1.0
913.0,1.0
915.0,1.0
917.0,1.0
919.0,1.0
921.0,6.0
923.0,6.0
925.0,6.0
927.0,6.0
929.0,3.0
931.0,3.0
933.0,3.0
935.0,3.0
937.0,1.0
939.0,1.0
941.0,1.0
943.0,1.0
945.0,1.0
947.0,8.0
949.0,8.0
951.0,8.0
953.0,8.0
955.0,8.0
957.0,8.0
959.0,8.0
961.0,8.0
963.0,8.0
965.0,2.0
967.0,2.0
969.0,2.0
971.0,2.0
973.0,3.0
975.0,3.0
977.0,3.0
979.0,3.0
981.0,1.0
983.0,1.0
985.0,1.0
987.0,1.0
989.0,1.0
991.0,1.0
993.0,1.0
995.0,1.0
997.0,1.0
999.0,1.0
