id,link_id,input_volume
1,5,600
2,4,600
3,8,600
4,1,600
5,17,600
6,16,600
7,20,600
8,13,600
9,29,600
10,28,600
11,32,600
12,25,600
13,41,600
14,40,600
15,44,600
16,37,600
17,53,600
18,52,600
19,56,600
20,49,600
21,65,600
22,64,600
23,68,600
24,61,600
25,77,600
26,76,600
27,80,600
28,73,600
29,89,600
30,88,600
31,92,600
32,85,600
33,101,600
34,100,600
35,104,600
36,97,600
37,113,600
38,112,600
39,116,600
40,109,600
41,125,600
42,124,600
43,128,600
44,121,600
45,137,600
46,136,600
47,140,600
48,133,600
49,149,600
50,148,600
51,152,600
52,145,600
53,161,600
54,160,600
55,164,600
56,157,600
57,173,600
58,172,600
59,176,600
60,169,600
61,185,600
62,184,600
63,188,600
64,181,600
65,197,600
66,196,600
67,200,600
68,193,600
69,209,600
70,208,600
71,212,600
72,205,600
73,221,600
74,220,600
75,224,600
76,217,600
77,233,600
78,232,600
79,236,600
80,229,600
