time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0.00,0,
3,0.00,0.00,0.00,0.00,40.63,0.00,4,
5,0.00,0.00,0.00,0.00,47.95,0.00,4,
7,0.00,0.00,0.00,0.00,55.84,0.00,4,
9,0.00,0.00,0.00,0.00,60.29,0.00,4,4.00
11,0.00,0.00,0.00,0.00,60.07,0.00,4,
13,0.00,0.00,0.00,0.00,57.12,0.00,1,
15,0.00,0.00,0.00,0.00,58.30,0.00,1,
17,0.00,0.00,0.00,0.00,55.06,0.00,1,
19,0.00,0.00,0.10,0.67,53.82,2.00,1,3.48
21,0.00,0.00,0.12,1.49,54.14,1.00,1,
23,0.00,0.00,0.05,0.66,49.98,0.00,1,
25,0.85,3.41,0.34,2.66,42.15,1.00,1,
27,1.22,4.86,0.57,4.66,36.80,1.00,1,
29,1.25,5.00,1.26,6.66,35.83,3.00,1,2.85
31,2.64,10.57,1.25,8.66,32.66,0.00,1,
33,3.95,10.88,1.97,10.66,33.59,1.00,2,
35,4.09,10.88,2.74,12.66,34.67,0.00,2,
37,3.72,7.84,3.74,14.66,36.68,1.00,2,
39,2.56,5.47,3.35,13.13,37.73,1.00,2,1.96
41,2.74,6.20,3.56,15.13,36.93,1.00,2,
43,6.14,10.95,4.39,17.13,35.25,1.00,1,
45,6.58,10.83,5.35,19.13,37.05,2.00,1,
47,4.95,8.23,5.14,21.13,37.63,1.00,1,
49,2.56,5.47,5.07,23.13,38.79,2.00,1,2.67
51,2.92,5.47,4.75,25.13,38.11,2.00,1,
53,4.32,6.65,4.98,27.13,34.29,0.00,2,
55,6.71,11.04,6.03,29.13,33.42,0.00,2,
57,7.02,11.71,7.37,31.13,31.40,2.00,2,
59,6.83,11.71,7.79,33.13,28.90,2.00,2,1.59
61,7.25,13.41,8.43,35.13,26.22,1.00,2,
63,8.40,17.98,9.25,37.13,22.49,1.00,1,
65,9.73,19.46,10.43,39.13,22.58,2.00,1,
67,11.51,24.44,10.40,41.13,23.86,1.00,1,
69,8.63,24.94,11.24,43.13,23.32,2.00,1,2.10
71,8.88,24.80,10.28,45.13,19.78,2.00,1,
73,10.08,24.80,9.95,47.13,18.87,1.00,3,
75,11.45,24.80,10.29,49.13,18.24,0.00,3,
77,12.76,31.45,11.45,51.13,16.71,2.00,3,
79,10.52,31.52,10.16,53.13,16.42,2.00,3,1.88
81,8.09,17.05,9.99,55.13,15.75,1.00,3,
83,8.44,17.29,10.70,57.13,16.54,1.00,2,
85,10.04,17.19,11.28,59.13,27.02,1.00,2,
87,10.63,20.04,12.06,61.13,32.73,2.00,2,
89,11.36,22.96,10.73,63.13,35.36,1.00,2,2.49
91,6.89,17.70,10.85,65.13,36.11,1.00,2,
93,6.89,17.70,11.26,67.13,29.32,1.00,1,
95,6.89,17.70,11.64,69.13,23.99,0.00,1,
97,8.63,22.05,12.80,71.13,24.53,1.00,1,
99,10.67,28.04,14.15,73.13,26.83,2.00,1,2.29
101,9.16,16.85,14.26,75.13,29.41,3.00,1,
103,6.73,11.77,13.96,77.13,29.77,2.00,2,
105,7.66,11.77,14.26,79.13,30.10,1.00,2,
107,7.37,11.77,14.04,81.13,31.94,1.00,2,
109,6.98,11.77,14.93,83.13,31.55,1.00,2,2.19
111,8.16,11.77,14.46,85.13,28.31,0.00,2,
113,8.23,11.77,15.62,87.13,25.12,1.00,1,
115,10.64,20.78,16.69,89.13,21.39,0.00,1,
117,12.39,30.08,18.03,91.13,21.90,2.00,1,
119,13.20,30.14,18.38,93.13,24.66,2.00,1,1.46
121,11.03,17.59,18.46,95.13,23.87,1.00,1,
123,11.95,24.99,18.84,97.13,21.85,2.00,4,
125,12.57,27.48,19.82,99.13,21.60,2.00,4,
127,14.56,38.08,19.80,101.13,24.60,3.00,4,
129,12.31,38.21,10.32,53.27,26.89,2.00,4,2.27
131,12.31,38.21,7.93,55.27,24.64,0.00,4,
133,14.91,44.18,8.88,57.27,22.84,0.00,2,
135,16.69,44.24,10.02,59.27,24.95,1.00,2,
137,20.05,44.24,9.01,61.27,24.67,0.00,2,
139,18.21,44.24,10.01,63.27,23.89,2.00,2,1.49
141,18.21,44.24,9.77,65.27,22.46,1.00,2,
143,20.33,43.82,10.76,67.27,20.37,1.00,3,
145,13.06,24.11,11.56,69.27,22.14,0.00,3,
147,14.77,30.49,12.73,71.27,21.33,1.00,3,
149,17.42,30.53,11.77,46.05,21.29,1.00,3,1.22
151,17.53,29.86,10.70,27.53,20.54,2.00,3,
153,19.33,29.83,11.10,29.53,19.88,1.00,1,
155,19.65,29.83,12.12,31.53,17.04,2.00,1,
157,21.31,30.66,9.09,33.53,20.24,0.00,1,
159,23.03,36.97,10.23,35.53,21.62,2.00,1,2.28
161,22.45,42.60,10.21,37.53,21.51,2.00,1,
163,14.86,25.17,11.14,39.53,23.88,2.00,1,
165,11.73,24.75,11.84,41.53,23.29,2.00,1,
167,12.76,28.88,11.64,43.53,23.02,3.00,1,
169,13.22,30.70,11.70,45.53,23.32,1.00,1,2.03
171,13.21,30.69,12.50,47.53,22.08,0.00,1,
173,15.13,30.69,13.83,49.53,17.44,3.00,2,
175,17.67,30.69,14.33,51.53,20.15,0.00,2,
177,18.17,30.69,15.40,53.53,22.30,2.00,2,
179,15.03,30.69,15.59,55.62,22.24,2.00,2,2.04
181,10.61,18.05,16.17,49.96,21.11,2.00,2,
183,8.88,12.43,13.77,40.93,22.68,0.00,1,
185,9.48,13.32,15.11,42.93,23.10,0.00,1,
187,10.27,16.83,16.44,44.93,26.08,2.00,1,
189,8.88,12.43,16.58,46.93,26.97,1.00,1,1.78
191,10.03,17.00,17.70,48.93,28.97,2.00,1,
193,13.09,18.20,18.62,50.93,26.67,1.00,3,
195,13.16,18.19,19.62,52.93,27.34,2.00,3,
197,12.49,18.17,15.34,50.24,27.88,2.00,3,
199,9.35,18.04,15.23,51.73,28.29,2.00,3,1.78
201,9.69,18.85,10.83,53.73,22.49,1.00,3,
203,14.64,24.40,10.69,55.73,19.04,0.00,2,
205,17.73,24.25,11.69,57.73,17.99,0.00,2,
207,19.76,24.25,12.71,59.73,19.01,2.00,2,
209,17.01,24.25,10.17,61.73,19.54,2.00,2,1.41
211,16.04,24.25,11.19,63.73,20.27,2.00,2,
213,18.42,24.99,10.61,65.73,20.51,1.00,1,
215,19.94,30.54,11.47,67.73,22.88,1.00,1,
217,20.27,31.87,11.87,69.73,25.68,1.00,1,
219,20.72,33.90,12.45,71.73,24.94,2.00,1,2.36
221,16.67,37.71,11.44,73.73,23.95,2.00,1,
223,9.07,24.25,11.48,75.73,21.50,2.00,1,
225,7.24,24.25,11.24,77.73,23.45,1.00,1,
227,10.41,26.93,11.90,79.73,25.21,2.00,1,
229,13.07,31.38,11.86,81.73,25.09,0.00,1,1.80
231,13.01,31.31,13.18,83.73,26.22,2.00,1,
233,13.01,31.31,13.72,85.73,25.80,0.00,2,
235,14.59,31.31,14.77,87.73,22.68,3.00,2,
237,14.30,31.31,12.10,89.73,21.92,0.00,2,
239,10.61,31.31,12.83,91.73,19.46,1.00,2,1.83
241,10.61,31.31,13.43,93.73,16.32,3.00,2,
243,10.74,31.31,13.61,95.73,11.15,2.00,1,
245,12.43,31.31,12.89,97.73,11.18,0.00,1,
247,12.51,31.31,13.89,99.73,9.09,2.00,1,
249,10.61,31.31,13.90,101.73,8.82,1.00,1,2.08
251,10.61,31.31,13.79,103.73,8.50,1.00,1,
253,10.61,31.31,13.94,105.73,9.61,1.00,4,
255,10.61,31.31,14.12,107.73,15.10,0.00,4,
257,10.61,31.31,14.62,109.73,24.07,1.00,4,
259,10.61,31.31,13.89,96.58,29.57,1.00,4,2.15
261,7.41,18.50,11.74,64.87,35.13,1.00,4,
263,7.38,18.40,11.98,61.77,34.94,1.00,1,
265,7.38,18.40,10.63,58.28,35.75,0.00,1,
267,7.38,18.40,11.46,60.28,35.98,2.00,1,
269,7.48,18.80,11.19,62.28,34.48,0.00,1,1.61
271,10.03,29.00,12.02,64.28,34.52,1.00,1,
273,11.90,31.63,12.91,66.28,31.68,2.00,1,
275,12.03,31.60,13.85,68.28,28.53,2.00,1,
277,12.95,31.60,14.79,70.28,25.08,1.00,1,
279,13.26,31.60,15.75,72.28,20.30,2.00,1,1.75
281,13.25,31.60,16.98,74.28,20.17,1.00,1,
283,14.36,31.60,18.00,76.28,19.19,2.00,2,
285,16.23,37.36,18.98,78.28,21.30,0.00,2,
287,16.64,37.71,20.14,80.28,22.87,2.00,2,
289,17.78,43.30,20.96,82.28,23.08,2.00,2,2.14
291,18.15,44.81,20.86,84.28,23.01,1.00,2,
293,16.59,35.47,20.14,86.28,22.50,1.00,3,
295,14.73,23.31,18.95,88.28,25.36,1.00,3,
297,15.09,27.98,19.66,90.28,25.56,2.00,3,
299,13.68,30.90,17.43,72.82,26.76,3.00,3,2.05
301,10.78,18.92,12.10,74.82,25.83,2.00,3,
303,8.03,18.92,12.81,76.82,24.71,1.00,4,
305,8.69,18.92,13.60,78.82,26.86,1.00,4,
307,10.23,22.92,14.01,80.82,27.49,2.00,4,
309,11.58,24.79,8.74,39.94,26.93,3.00,4,2.11
311,11.88,23.69,8.44,41.94,25.94,1.00,4,
313,13.69,25.57,7.63,43.94,23.02,1.00,2,
315,15.19,26.33,8.10,45.94,23.25,0.00,2,
317,17.72,35.82,9.43,47.94,26.72,2.00,2,
319,17.09,44.13,9.57,35.38,27.66,2.00,2,2.28
321,15.48,44.54,9.75,33.06,26.36,2.00,2,
323,13.03,28.65,6.90,27.06,23.82,1.00,1,
325,6.46,13.64,7.51,29.06,24.31,0.00,1,
327,10.24,18.96,8.67,31.06,26.60,2.00,1,
329,12.19,18.87,7.72,33.06,24.43,2.00,1,1.31
331,15.52,26.60,6.95,35.06,24.33,1.00,1,
333,19.85,30.92,7.59,37.06,24.03,1.00,2,
335,21.32,30.91,8.37,39.06,26.24,0.00,2,
337,21.57,30.91,9.37,41.06,25.88,2.00,2,
339,22.93,30.90,9.79,43.06,26.04,2.00,2,1.68
341,25.69,35.53,9.86,45.06,24.31,1.00,2,
343,18.08,29.95,10.53,47.06,24.47,2.00,3,
345,16.75,29.95,10.01,49.06,23.95,1.00,3,
347,16.83,29.95,9.71,51.06,24.02,2.00,3,
349,18.79,29.95,9.25,38.71,24.28,2.00,3,1.65
351,17.35,25.77,8.74,26.98,23.68,2.00,3,
353,18.58,25.77,9.01,22.43,20.67,2.00,2,
355,20.32,25.77,8.79,22.65,20.44,0.00,2,
357,23.26,26.61,10.29,24.65,18.67,2.00,2,
359,26.00,36.37,11.39,26.65,20.43,2.00,2,1.69
361,23.46,37.85,11.64,28.65,18.43,2.00,2,
363,18.35,33.63,12.62,30.65,18.10,2.00,1,
365,21.02,38.31,12.53,32.65,19.75,0.00,1,
367,22.69,43.37,13.86,34.65,19.56,3.00,1,
369,22.96,43.21,13.96,36.65,20.45,2.00,1,2.17
371,27.89,47.23,14.75,38.65,20.80,2.00,1,
373,30.29,56.30,15.33,40.65,20.66,2.00,1,
375,28.97,50.73,14.48,42.65,21.91,2.00,1,
377,19.89,39.33,15.38,44.65,20.06,1.00,1,
379,20.50,41.77,16.55,46.65,16.90,3.00,1,1.69
381,20.50,41.76,17.04,48.65,16.88,0.00,1,
383,21.64,45.99,18.68,50.65,16.64,2.00,4,
385,24.86,52.45,20.20,52.65,20.55,1.00,4,
387,28.12,56.15,21.50,54.65,21.87,2.00,4,
389,29.63,56.12,21.93,55.09,21.17,2.00,4,1.00
391,31.65,59.38,,,17.94,1.00,4,
393,34.86,68.86,,,15.57,0.00,2,
395,36.44,69.59,,,14.66,0.00,2,
397,40.85,86.17,,,13.97,1.00,2,
399,47.58,107.53,,,14.20,2.00,2,1.81
401,45.93,113.73,,,13.44,2.00,2,
403,47.53,113.67,,,13.46,2.00,2,
405,48.51,113.67,,,14.03,2.00,2,
407,49.36,113.67,,,12.09,2.00,2,
409,51.98,115.99,,,12.37,2.00,2,1.85
411,54.50,119.05,,,12.13,2.00,2,
413,56.17,121.86,,,12.61,1.00,1,
415,56.92,124.90,,,12.13,1.00,1,
417,56.90,124.83,,,10.61,1.00,1,
419,44.27,74.32,,,10.20,2.00,1,1.64
421,35.05,75.77,,,11.57,1.00,1,
423,41.12,81.33,,,11.87,3.00,3,
425,44.56,86.46,,,13.18,1.00,3,
427,44.46,86.34,,,11.74,2.00,3,
429,46.24,88.44,,,11.84,2.00,3,1.49
431,45.22,92.63,,,12.62,1.00,3,
433,37.60,71.36,,,11.05,1.00,2,
435,29.58,71.74,,,12.03,0.00,2,
437,33.08,71.55,,,12.99,2.00,2,
439,33.54,70.83,,,13.35,2.00,2,1.80
441,34.99,68.71,,,14.01,1.00,2,
443,37.05,66.44,,,15.20,2.00,2,
445,36.74,65.68,,,16.13,1.00,2,
447,22.93,68.34,,,15.07,1.00,2,
449,23.81,69.71,,,15.88,1.00,2,1.32
451,26.35,76.60,,,15.21,1.00,2,
453,26.37,76.71,,,14.02,2.00,1,
455,26.37,76.71,,,14.78,1.00,1,
457,26.40,76.71,,,15.89,2.00,1,
459,26.71,76.71,,,18.62,2.00,1,2.34
461,28.01,76.71,,,20.69,2.00,1,
463,29.47,76.71,,,19.82,1.00,1,
465,32.69,82.74,,,22.39,1.00,1,
467,35.27,89.37,,,23.85,2.00,1,
469,37.65,96.77,,,25.50,1.00,1,2.07
471,38.94,101.94,,,26.25,2.00,1,
473,38.78,101.29,,,26.13,2.00,1,
475,14.54,29.86,,,23.69,4.00,1,
477,14.54,29.86,,,24.53,2.00,1,
479,14.54,29.86,,,22.95,1.00,1,2.08
481,15.90,29.86,,,20.65,2.00,1,
483,16.33,29.86,,,16.72,1.00,2,
485,18.59,31.54,,,17.70,0.00,2,
487,24.65,36.02,,,17.40,1.00,2,
489,24.67,35.93,,,16.11,2.00,2,1.68
491,23.00,41.00,,,15.87,2.00,2,
493,24.14,45.58,,,15.47,2.00,3,
495,25.20,45.36,,,16.02,0.00,3,
497,15.86,22.60,,,15.46,2.00,3,
499,16.25,22.60,,,15.40,2.00,3,1.26
501,19.72,26.29,,,13.24,1.00,3,
501,19.72,26.29,,,13.24,1.00,1,
