time,calc_time
1.00,0.20
9.00,0.09
19.00,0.08
29.00,0.09
39.00,0.09
49.00,0.09
59.00,0.08
69.00,0.09
79.00,0.08
89.00,0.10
99.00,0.10
109.00,0.18
119.00,0.09
129.00,0.09
139.00,0.14
149.00,0.09
159.00,0.10
169.00,0.10
179.00,0.10
189.00,0.11
199.00,0.10
209.00,0.10
219.00,0.11
229.00,0.10
239.00,0.10
249.00,0.11
259.00,0.10
269.00,0.11
279.00,0.10
289.00,0.10
299.00,0.10
309.00,0.10
319.00,0.13
329.00,0.13
339.00,0.10
349.00,0.11
359.00,0.21
369.00,0.10
379.00,0.09
389.00,0.09
399.00,0.09
409.00,0.08
419.00,0.09
429.00,0.10
439.00,0.11
449.00,0.09
459.00,0.13
469.00,0.10
479.00,0.10
489.00,0.09
499.00,0.09
