id,method,layout,inflow,intersection,outflow_type_1,outflow_type_2,outflow_type_3,outflow_others,outflow_all,phase_type_1,phase_type_2,phase_type_3,phase_others,phase_all,outflow_rate_type_1,outflow_rate_type_2,outflow_rate_type_3,outflow_rate_others,outflow_rate_all
111,Proposed DRL,7-4-1,balanced_800,6,42.0,130.0,190.0,49.0,411.0,0.016666666666666666,0.03888888888888889,0.06722222222222222,0.016666666666666666,0.13944444444444445,0.7,0.9285714285714286,0.7851239669421488,0.8166666666666667,0.8187250996015937
112,Proposed DRL,7-4-1,balanced_800,7,244.0,18.0,100.0,8.0,370.0,0.09222222222222222,0.008333333333333333,0.03611111111111111,0.002777777777777778,0.13944444444444445,0.7349397590361446,0.6,0.7692307692307693,0.8,0.7370517928286853
113,Proposed DRL,7-4-1,unbalanced,1,119.0,56.0,187.0,,362.0,0.04722222222222222,0.022222222222222223,0.07,0.0,0.13944444444444445,0.7,0.7,0.7420634920634921,,0.7211155378486056
114,Proposed DRL,7-4-1,unbalanced,2,105.0,41.0,178.0,47.0,371.0,0.041666666666666664,0.016666666666666666,0.058888888888888886,0.022222222222222223,0.13944444444444445,0.7,0.6833333333333333,0.839622641509434,0.5875,0.7390438247011952
115,Proposed DRL,7-4-1,unbalanced,3,171.0,26.0,131.0,,328.0,0.07222222222222222,0.013888888888888888,0.05333333333333334,0.0,0.13944444444444445,0.6576923076923077,0.52,0.6822916666666666,,0.6533864541832669
116,Proposed DRL,7-4-1,unbalanced,4,48.0,155.0,138.0,13.0,354.0,0.022222222222222223,0.05555555555555555,0.05611111111111111,0.005555555555555556,0.13944444444444445,0.6,0.775,0.6831683168316832,0.65,0.7051792828685259
117,Proposed DRL,7-4-1,unbalanced,5,140.0,127.0,112.0,,379.0,0.05333333333333334,0.044444444444444446,0.041666666666666664,0.0,0.13944444444444445,0.7291666666666666,0.79375,0.7466666666666667,,0.7549800796812749
118,Proposed DRL,7-4-1,unbalanced,6,68.0,148.0,103.0,46.0,365.0,0.028333333333333332,0.05277777777777778,0.03888888888888889,0.019444444444444445,0.13944444444444445,0.6666666666666666,0.7789473684210526,0.7357142857142858,0.6571428571428571,0.7270916334661355
119,Proposed DRL,7-4-1,unbalanced,7,144.0,17.0,154.0,6.0,321.0,0.06111111111111111,0.008333333333333333,0.06722222222222222,0.002777777777777778,0.13944444444444445,0.6545454545454545,0.5666666666666667,0.6363636363636364,0.6,0.6394422310756972
120,Proposed DRL,7-4-1,main-minor,1,130.0,72.0,154.0,12.0,368.0,0.05,0.022222222222222223,0.06166666666666667,0.005555555555555556,0.13944444444444445,0.7222222222222222,0.9,0.6936936936936937,0.6,0.7330677290836654
121,Proposed DRL,7-4-1,main-minor,2,111.0,39.0,181.0,47.0,378.0,0.041666666666666664,0.016666666666666666,0.06111111111111111,0.02,0.13944444444444445,0.74,0.65,0.8227272727272728,0.6527777777777778,0.7529880478087649
122,Proposed DRL,7-4-1,main-minor,3,173.0,0.0,168.0,,341.0,0.06722222222222222,0.002777777777777778,0.06944444444444445,0.0,0.13944444444444445,0.7148760330578512,0.0,0.672,,0.6792828685258964
123,Proposed DRL,7-4-1,main-minor,4,42.0,146.0,165.0,6.0,359.0,0.016666666666666666,0.050555555555555555,0.06944444444444445,0.002777777777777778,0.13944444444444445,0.7,0.8021978021978022,0.66,0.6,0.7151394422310757
