time,queue_avg,queue_max,delay_avg_1,delay_avg_2,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,0.00,60.00,0
3,0.00,0.00,0.00,0.00,0.00,48.73,8
5,0.00,0.00,0.00,0.00,0.00,50.78,8
7,0.00,0.00,0.00,0.00,0.00,59.52,8
9,0.00,0.00,0.00,0.00,0.00,61.69,8
11,0.00,0.00,0.00,0.00,0.00,63.42,8
13,0.00,0.00,0.00,0.00,0.00,57.63,1
15,0.00,0.00,0.00,0.00,0.00,49.26,1
17,0.00,0.00,0.08,0.11,1.00,43.86,1
19,0.85,3.41,0.25,0.32,3.00,43.21,1
21,1.32,5.29,0.50,0.64,5.00,41.00,1
23,1.32,5.28,0.85,1.09,7.00,45.05,7
25,1.60,5.18,1.00,1.28,9.00,54.23,7
27,0.00,0.00,0.92,1.18,11.00,50.82,7
29,2.23,8.91,0.12,0.15,1.41,47.47,7
31,2.54,10.16,0.41,0.53,3.41,44.91,7
33,3.90,10.16,0.91,1.17,5.41,39.27,8
35,3.92,10.16,1.67,2.14,7.41,33.98,8
37,3.22,7.35,2.20,2.83,9.41,26.74,8
39,2.65,5.51,2.62,3.37,11.41,15.86,8
41,5.79,11.27,2.50,3.21,11.35,17.41,8
43,6.88,11.64,3.12,4.02,13.35,20.29,6
45,8.45,17.24,3.96,5.09,15.35,28.19,6
47,9.71,17.60,3.98,5.12,17.35,33.73,6
49,5.62,10.87,4.13,5.31,13.27,39.71,6
51,2.45,4.94,3.37,4.33,15.27,42.60,6
53,2.45,4.94,2.60,3.35,17.27,38.66,7
55,2.49,4.85,3.04,3.91,19.27,37.71,7
57,1.61,4.85,3.81,4.85,21.27,43.24,7
59,1.21,4.85,3.06,3.74,23.27,38.93,7
61,2.05,4.85,3.34,4.29,25.27,36.63,7
63,2.52,5.21,4.07,5.24,27.27,30.85,6
65,3.39,8.70,4.71,6.06,29.27,29.03,6
67,7.57,16.05,4.64,5.97,31.27,33.41,6
69,6.42,10.71,4.87,6.26,33.27,32.95,6
71,4.46,12.97,5.75,7.32,35.27,33.44,6
73,5.37,16.63,5.67,7.07,37.27,29.70,3
75,5.33,16.57,6.54,8.05,39.27,30.39,3
77,5.38,16.52,6.56,7.93,41.27,32.08,3
79,2.48,5.14,3.98,4.47,14.44,22.73,3
81,2.48,5.14,3.15,3.26,16.44,20.66,3
83,4.02,11.30,3.45,3.50,18.44,29.42,4
85,3.97,12.04,4.03,4.10,20.44,39.94,4
87,4.35,17.40,3.53,3.33,22.44,44.64,4
89,2.23,8.92,2.31,1.62,19.05,49.22,4
91,1.24,4.98,2.31,1.46,21.05,46.46,4
93,1.24,4.98,1.92,0.82,23.05,42.00,2
95,1.11,4.44,2.10,0.92,25.05,39.79,2
97,1.18,4.70,2.53,1.32,27.05,38.52,2
99,1.61,5.61,1.09,1.06,4.91,39.15,2
101,4.37,10.40,1.18,1.52,6.20,37.37,2
103,5.40,11.34,1.77,2.20,8.20,37.00,6
105,5.64,11.30,2.44,2.92,10.20,37.54,6
107,4.58,10.68,2.22,2.50,12.20,36.51,6
109,2.57,10.27,2.80,3.09,14.20,34.29,6
111,4.97,16.66,2.94,3.13,16.20,32.72,6
113,7.01,23.13,3.67,3.93,18.20,30.52,6
115,6.97,22.95,4.14,4.39,20.20,26.40,6
117,8.39,28.66,4.84,5.04,22.20,25.72,6
119,8.56,29.34,5.49,5.58,24.20,26.38,6
121,8.87,30.58,6.06,6.43,26.20,24.46,6
123,10.48,36.99,7.12,7.65,28.20,20.63,5
125,11.99,36.84,7.81,8.39,30.20,21.82,5
127,13.62,36.84,8.81,9.54,32.20,21.47,5
129,13.63,39.45,8.88,10.09,30.66,18.75,5
131,16.57,43.80,8.45,9.35,22.91,15.84,5
133,15.98,32.45,7.66,9.66,23.77,17.99,4
135,13.15,21.67,8.33,10.38,25.77,23.30,4
137,14.36,23.62,7.91,9.70,27.77,32.26,4
139,9.20,16.01,7.18,8.62,22.39,33.15,4
141,8.92,19.59,6.46,7.55,24.39,34.96,4
143,8.88,19.56,5.76,6.50,26.39,36.83,3
145,8.86,19.56,6.42,7.21,28.39,37.31,3
147,7.58,19.55,5.19,5.49,30.39,35.45,3
149,4.76,10.55,4.72,4.74,27.50,32.61,3
151,4.99,10.55,5.06,5.03,22.16,33.21,3
153,7.93,11.30,4.36,3.99,22.63,32.38,6
155,10.32,16.50,4.00,3.38,24.63,33.92,6
157,9.13,16.36,3.78,2.96,26.63,33.66,6
