time,calc_time
1.00,0.22
9.00,0.09
19.00,0.03
29.00,0.10
39.00,0.09
49.00,0.08
59.00,0.11
69.00,0.08
79.00,0.11
89.00,0.09
99.00,0.10
109.00,0.09
119.00,0.10
129.00,0.10
139.00,0.09
149.00,0.09
159.00,0.10
169.00,0.09
179.00,0.09
189.00,0.10
199.00,0.10
209.00,0.11
219.00,0.09
229.00,0.10
239.00,0.09
249.00,0.09
259.00,0.09
269.00,0.09
279.00,0.09
289.00,0.11
299.00,0.10
309.00,0.08
319.00,0.09
329.00,0.12
339.00,0.08
349.00,0.09
359.00,0.08
369.00,0.09
379.00,0.09
389.00,0.11
399.00,0.10
409.00,0.10
419.00,0.09
429.00,0.10
439.00,0.08
449.00,0.08
459.00,0.09
469.00,0.10
479.00,0.10
489.00,0.39
499.00,0.08
509.00,0.09
519.00,0.08
529.00,0.09
539.00,0.08
549.00,0.08
559.00,0.11
569.00,0.09
579.00,0.12
589.00,0.12
599.00,0.11
609.00,0.10
619.00,0.09
629.00,0.08
639.00,0.09
649.00,0.13
659.00,0.09
669.00,0.09
679.00,0.09
689.00,0.08
699.00,0.09
709.00,0.10
719.00,0.09
729.00,0.10
739.00,0.09
749.00,0.09
759.00,0.08
769.00,0.09
779.00,0.09
789.00,0.09
799.00,0.10
809.00,0.08
819.00,0.09
829.00,0.09
839.00,0.09
849.00,0.09
859.00,0.09
869.00,0.10
879.00,0.12
889.00,0.10
899.00,0.10
909.00,0.09
919.00,0.10
929.00,0.09
939.00,0.09
949.00,0.09
959.00,0.09
969.00,0.10
979.00,0.10
989.00,0.09
999.00,0.09
