time,phase
333.0,4.0
335.0,4.0
337.0,4.0
339.0,4.0
341.0,4.0
343.0,4.0
345.0,1.0
347.0,1.0
349.0,1.0
351.0,1.0
353.0,1.0
355.0,3.0
357.0,3.0
359.0,3.0
361.0,3.0
363.0,3.0
365.0,3.0
367.0,3.0
369.0,2.0
371.0,2.0
373.0,2.0
375.0,2.0
377.0,4.0
379.0,4.0
381.0,4.0
383.0,4.0
385.0,4.0
387.0,4.0
389.0,4.0
391.0,4.0
393.0,1.0
395.0,1.0
397.0,1.0
399.0,1.0
401.0,1.0
403.0,1.0
405.0,3.0
407.0,3.0
409.0,3.0
411.0,3.0
413.0,3.0
415.0,3.0
417.0,3.0
419.0,3.0
421.0,3.0
423.0,3.0
425.0,2.0
427.0,2.0
429.0,2.0
431.0,2.0
433.0,2.0
435.0,4.0
437.0,4.0
439.0,4.0
441.0,4.0
443.0,4.0
445.0,4.0
447.0,4.0
449.0,1.0
451.0,1.0
453.0,1.0
455.0,1.0
457.0,1.0
459.0,1.0
461.0,1.0
463.0,1.0
465.0,1.0
467.0,3.0
469.0,3.0
471.0,3.0
473.0,3.0
475.0,3.0
477.0,3.0
479.0,3.0
481.0,3.0
483.0,3.0
485.0,3.0
487.0,3.0
489.0,2.0
491.0,2.0
493.0,2.0
495.0,2.0
497.0,2.0
499.0,2.0
501.0,4.0
503.0,4.0
505.0,4.0
507.0,4.0
509.0,4.0
511.0,4.0
513.0,1.0
515.0,1.0
517.0,1.0
519.0,1.0
521.0,1.0
523.0,1.0
525.0,1.0
527.0,1.0
529.0,1.0
531.0,1.0
533.0,1.0
535.0,1.0
537.0,3.0
539.0,3.0
541.0,3.0
543.0,3.0
545.0,3.0
547.0,3.0
549.0,3.0
551.0,3.0
553.0,3.0
555.0,3.0
557.0,2.0
559.0,2.0
561.0,2.0
563.0,2.0
565.0,2.0
567.0,2.0
569.0,2.0
571.0,2.0
573.0,2.0
575.0,4.0
577.0,4.0
579.0,4.0
581.0,4.0
583.0,4.0
585.0,1.0
587.0,1.0
589.0,1.0
591.0,1.0
593.0,1.0
595.0,1.0
597.0,1.0
599.0,1.0
601.0,1.0
603.0,1.0
605.0,1.0
607.0,1.0
609.0,1.0
611.0,1.0
613.0,1.0
615.0,3.0
617.0,3.0
619.0,3.0
621.0,3.0
623.0,3.0
625.0,3.0
627.0,3.0
629.0,3.0
631.0,3.0
633.0,2.0
635.0,2.0
637.0,2.0
639.0,2.0
641.0,2.0
643.0,2.0
645.0,2.0
647.0,2.0
649.0,2.0
651.0,2.0
653.0,2.0
655.0,2.0
657.0,4.0
659.0,4.0
661.0,4.0
663.0,4.0
665.0,1.0
667.0,1.0
669.0,1.0
671.0,1.0
673.0,1.0
675.0,1.0
677.0,1.0
679.0,1.0
681.0,1.0
683.0,1.0
685.0,1.0
687.0,1.0
689.0,1.0
691.0,1.0
693.0,1.0
695.0,1.0
697.0,1.0
