time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,46.50,1
5,0.00,0.00,0.00,0.00,54.13,1
7,0.00,0.00,0.00,0.00,60.17,1
9,0.00,0.00,0.00,0.00,56.08,2
11,0.00,0.00,0.00,0.00,54.84,2
13,0.00,0.00,0.00,0.00,54.97,2
15,0.00,0.00,0.00,0.00,53.07,2
17,0.00,0.00,0.13,0.73,54.86,2
19,0.00,0.00,0.15,0.97,52.19,1
21,0.00,0.00,0.45,2.97,50.33,1
23,0.00,0.00,0.03,0.18,47.29,1
25,0.00,0.00,0.33,2.18,48.73,1
27,0.00,0.00,0.68,4.18,46.39,1
29,0.00,0.00,0.83,3.20,39.28,1
31,0.68,2.71,1.00,4.33,28.22,3
33,0.32,1.28,1.07,6.33,12.10,3
35,2.25,5.80,1.95,8.33,9.21,3
37,3.79,7.73,3.05,10.33,26.32,3
39,4.37,11.34,1.56,7.78,33.53,3
41,4.22,11.30,1.57,8.22,38.91,4
43,4.22,11.30,1.97,10.22,43.59,4
45,4.19,11.30,2.37,12.22,50.77,4
47,2.10,8.16,2.24,12.72,51.25,4
49,0.00,0.00,2.20,12.32,45.52,4
51,0.00,0.00,0.85,4.37,41.91,2
53,2.09,4.55,1.12,6.37,33.22,2
55,3.86,11.00,1.52,8.37,25.47,2
57,5.59,11.03,2.36,10.37,23.62,2
59,8.29,15.51,2.79,9.38,24.16,2
61,4.85,11.67,3.62,9.65,26.64,2
63,4.18,11.64,3.19,7.71,30.52,1
65,4.13,11.64,2.99,9.71,33.61,1
67,4.13,11.64,3.61,11.71,36.96,1
69,3.98,11.64,4.41,13.71,41.78,1
71,3.18,8.43,3.38,15.71,43.49,1
73,1.07,4.28,3.20,16.84,41.53,4
75,1.27,4.28,0.94,11.36,42.62,4
77,2.17,4.40,0.80,13.36,43.02,4
79,1.07,4.28,1.19,15.36,39.31,4
81,1.41,4.28,1.36,17.36,39.75,4
83,2.86,6.49,1.17,19.36,39.87,3
85,4.00,11.15,1.70,21.36,36.88,3
87,3.99,11.08,1.58,23.36,34.23,3
89,4.20,11.08,1.88,25.36,35.82,3
91,5.31,12.17,2.23,27.36,31.94,3
93,2.98,11.92,1.58,13.72,29.07,4
95,3.58,11.92,1.26,15.72,30.92,4
97,5.08,11.92,1.70,17.72,37.49,4
99,6.95,18.21,2.47,19.72,40.89,4
101,4.52,18.09,2.77,21.72,40.80,4
103,4.52,18.09,2.39,23.72,34.91,2
105,4.91,18.09,2.96,25.72,28.32,2
107,4.82,18.09,4.05,27.72,19.92,2
109,7.35,18.09,5.55,29.72,18.18,2
111,9.56,18.05,5.82,31.72,25.81,2
113,5.97,12.59,5.36,16.97,29.73,2
115,4.42,12.52,6.35,18.17,33.79,4
117,4.39,12.52,4.47,11.15,34.44,4
119,4.39,12.52,4.88,13.15,33.20,4
121,4.39,12.52,5.70,15.15,35.01,4
123,4.39,12.52,1.56,16.88,34.04,4
125,4.62,12.52,2.04,18.88,35.15,3
127,7.87,14.33,2.18,20.88,34.03,3
129,9.08,19.22,2.33,22.88,34.37,3
131,8.39,19.13,2.72,24.88,36.10,3
133,4.11,11.06,2.39,24.92,36.47,3
135,4.29,11.75,1.65,13.26,33.21,3
137,4.77,11.75,1.87,15.26,30.13,1
139,6.94,17.08,2.63,17.26,28.34,1
141,13.09,37.48,3.23,19.26,30.05,1
143,12.08,36.56,3.39,21.26,29.00,1
145,12.28,36.16,4.74,23.26,26.45,1
147,11.30,23.18,4.87,25.26,25.91,1
149,7.21,17.10,4.98,27.26,26.17,1
151,9.83,27.57,5.60,29.26,22.01,1
153,10.28,29.36,6.66,31.26,23.78,2
155,10.28,29.35,5.89,33.26,22.53,2
157,11.39,31.54,6.57,35.26,27.23,2
159,13.17,36.10,7.12,37.26,30.60,2
161,13.10,36.02,6.20,27.57,31.30,2
163,14.11,35.86,6.94,29.57,28.74,2
165,8.16,11.75,7.64,31.57,24.95,1
167,9.13,14.56,9.15,33.57,20.94,1
169,14.24,23.86,9.54,35.57,18.78,1
171,15.74,29.54,7.93,37.57,20.16,1
173,19.88,38.46,8.50,39.57,24.78,1
175,20.78,38.09,8.74,41.57,28.89,1
177,12.62,23.99,9.57,43.57,31.77,1
179,11.23,23.99,10.42,45.57,31.40,1
181,11.23,23.99,11.25,47.57,29.75,1
183,12.72,23.99,10.79,49.57,28.12,1
185,12.72,23.99,11.48,51.57,23.28,4
187,13.09,23.99,12.86,53.57,18.08,4
189,14.39,23.99,14.52,55.57,16.77,4
191,15.70,29.37,15.18,57.57,14.83,4
193,16.94,31.40,14.24,54.92,11.41,4
195,17.80,31.73,13.97,40.64,9.86,2
197,20.71,37.45,14.39,42.64,12.13,2
199,21.61,37.22,14.02,44.64,14.93,2
201,22.14,37.22,15.12,46.64,21.24,2
203,22.14,37.22,12.51,48.64,24.90,2
205,22.14,37.22,13.53,50.64,29.08,2
207,19.35,37.03,12.87,52.64,31.21,2
209,7.86,15.80,12.81,54.64,33.66,2
211,7.08,15.80,9.72,56.64,32.50,3
213,7.81,15.80,9.41,58.64,27.62,3
215,7.80,15.80,8.51,60.64,24.82,3
217,10.29,22.61,8.39,62.64,25.93,3
219,11.02,23.06,9.19,64.64,25.59,3
221,12.04,26.97,8.59,48.94,24.02,3
223,9.54,16.32,7.62,30.96,24.10,3
225,10.37,20.44,7.03,27.79,26.21,1
227,11.08,23.28,8.16,29.79,26.94,1
229,11.18,23.24,8.60,31.79,24.81,1
231,11.40,23.24,7.85,33.79,24.74,1
233,11.09,20.61,9.14,35.79,26.54,1
235,9.84,28.95,7.76,37.79,28.74,2
237,10.19,30.39,7.40,39.79,30.67,2
239,10.50,30.39,8.25,41.79,28.35,2
241,11.49,30.39,9.85,43.79,29.70,2
243,15.47,30.39,10.20,45.79,31.26,2
245,15.66,30.02,10.74,47.79,30.46,4
247,9.43,22.23,11.40,49.79,29.30,4
249,9.97,22.23,12.09,51.79,29.02,4
