time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.30833333333333335
19.0,0.30833333333333335
21.0,0.30833333333333335
23.0,0.30833333333333335
25.0,1.4000000000000001
27.0,1.4000000000000001
29.0,1.4000000000000001
31.0,1.4000000000000001
33.0,1.4000000000000001
35.0,1.4000000000000001
37.0,1.6333333333333335
39.0,1.4000000000000001
41.0,1.4000000000000001
43.0,1.4000000000000001
45.0,2.8666666666666667
47.0,1.5999999999999999
49.0,1.2666666666666668
51.0,1.2666666666666668
53.0,1.25
55.0,1.2666666666666666
57.0,1.2666666666666666
59.0,1.35
61.0,5.199999999999999
63.0,5.199999999999999
65.0,5.199999999999999
67.0,5.199999999999999
69.0,6.566666666666666
71.0,5.199999999999999
73.0,5.199999999999999
75.0,6.716666666666667
77.0,8.8
79.0,9.316666666666666
81.0,9.316666666666666
83.0,9.316666666666666
85.0,10.85
87.0,10.85
89.0,10.85
91.0,10.85
93.0,14.816666666666666
95.0,12.466666666666667
97.0,12.466666666666667
99.0,12.516666666666666
101.0,12.516666666666666
103.0,12.516666666666666
105.0,12.516666666666666
107.0,11.933333333333334
109.0,11.3
111.0,11.3
113.0,11.3
115.0,11.3
117.0,11.641666666666667
119.0,11.266666666666667
121.0,11.266666666666667
123.0,11.2
125.0,14.966666666666667
127.0,14.966666666666667
129.0,14.966666666666667
131.0,14.966666666666667
133.0,16.483333333333334
135.0,16.333333333333332
137.0,15.491666666666664
139.0,15.491666666666664
141.0,15.533333333333331
143.0,15.533333333333331
145.0,15.491666666666664
147.0,15.491666666666664
149.0,15.491666666666664
151.0,15.491666666666664
153.0,15.491666666666664
155.0,15.491666666666664
157.0,15.491666666666664
159.0,15.491666666666664
161.0,15.491666666666664
163.0,15.808333333333334
165.0,19.008333333333333
167.0,18.458333333333332
169.0,18.491666666666667
171.0,18.391666666666666
173.0,17.241666666666667
175.0,17.241666666666667
177.0,17.241666666666667
179.0,17.241666666666667
181.0,17.358333333333334
183.0,17.475
185.0,17.241666666666667
187.0,17.241666666666667
189.0,28.783333333333335
191.0,28.5
193.0,21.433333333333334
195.0,20.533333333333335
197.0,20.533333333333335
199.0,20.533333333333335
201.0,23.516666666666666
203.0,23.516666666666666
205.0,23.516666666666666
207.0,22.333333333333336
209.0,22.333333333333336
211.0,25.51666666666667
213.0,24.1
215.0,24.1
217.0,29.56666666666667
219.0,28.03333333333334
221.0,28.03333333333334
223.0,23.050000000000004
225.0,22.725000000000005
227.0,21.583333333333336
229.0,21.51666666666667
231.0,21.51666666666667
233.0,26.21666666666667
235.0,26.266666666666666
237.0,23.925000000000004
239.0,20.825000000000003
241.0,20.825000000000003
243.0,20.825000000000003
245.0,23.258333333333333
247.0,23.258333333333333
249.0,23.508333333333333
251.0,19.475
253.0,19.408333333333335
255.0,19.658333333333335
257.0,18.983333333333334
259.0,18.75
261.0,18.75
263.0,18.75
265.0,23.824999999999996
267.0,23.824999999999996
269.0,23.824999999999996
271.0,23.824999999999996
273.0,26.15833333333333
275.0,26.075
277.0,25.174999999999997
279.0,23.691666666666663
281.0,23.691666666666663
283.0,23.691666666666663
285.0,23.691666666666663
287.0,23.691666666666663
289.0,24.999999999999996
291.0,23.58333333333333
293.0,23.58333333333333
295.0,23.58333333333333
297.0,34.983333333333334
299.0,34.9
301.0,30.016666666666662
303.0,30.016666666666662
305.0,30.016666666666662
307.0,30.016666666666662
309.0,34.48333333333333
311.0,33.3
313.0,26.599999999999994
315.0,24.96666666666666
317.0,24.96666666666666
319.0,24.96666666666666
321.0,25.749999999999996
323.0,25.749999999999996
325.0,25.749999999999996
327.0,25.749999999999996
329.0,28.724999999999998
331.0,26.65
333.0,26.65
335.0,26.65
337.0,26.65
339.0,26.65
341.0,26.65
343.0,26.65
345.0,14.75
347.0,13.875
349.0,13.566666666666666
351.0,13.566666666666666
353.0,13.008333333333333
355.0,13.024999999999999
357.0,12.616666666666667
359.0,12.616666666666667
361.0,21.875
363.0,21.875
365.0,21.875
367.0,15.741666666666667
369.0,14.458333333333332
371.0,13.091666666666665
373.0,15.741666666666667
375.0,15.741666666666667
377.0,12.858333333333334
379.0,12.858333333333334
381.0,12.858333333333334
383.0,12.858333333333334
385.0,19.099999999999998
387.0,19.566666666666666
389.0,19.566666666666666
391.0,19.566666666666666
393.0,42.71666666666666
395.0,42.71666666666666
397.0,42.71666666666666
399.0,42.71666666666666
401.0,20.333333333333332
403.0,21.46666666666667
405.0,23.116666666666664
407.0,18.091666666666665
409.0,18.091666666666665
411.0,18.091666666666665
413.0,19.758333333333333
415.0,19.758333333333333
417.0,19.758333333333333
419.0,19.758333333333333
421.0,19.758333333333333
423.0,19.758333333333333
425.0,19.116666666666667
427.0,19.116666666666667
429.0,19.116666666666667
431.0,19.116666666666667
433.0,17.825
435.0,17.4
437.0,17.4
439.0,16.458333333333332
441.0,16.508333333333333
443.0,16.458333333333332
445.0,16.458333333333332
447.0,16.458333333333332
449.0,16.98333333333333
451.0,16.549999999999997
453.0,16.549999999999997
455.0,16.549999999999997
457.0,15.241666666666667
459.0,15.183333333333334
461.0,15.183333333333334
463.0,15.183333333333334
465.0,17.46666666666667
467.0,16.400000000000002
