time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.5
17.0,0.1
19.0,0.2
21.0,0.2
23.0,2.3
25.0,2.3
27.0,2.3
29.0,2.3
31.0,13.8
33.0,13.8
35.0,12.0
37.0,14.3
39.0,14.3
41.0,14.3
43.0,14.3
45.0,27.4
47.0,15.7
49.0,15.2
51.0,15.2
53.0,16.3
55.0,15.4
57.0,15.4
59.0,15.4
61.0,15.4
63.0,15.4
65.0,38.5
67.0,15.4
69.0,15.4
71.0,15.4
73.0,40.6
75.0,35.0
77.0,30.6
79.0,30.6
81.0,30.6
83.0,30.6
85.0,30.6
87.0,30.6
89.0,42.8
91.0,30.6
93.0,30.6
95.0,30.6
97.0,30.6
99.0,31.7
101.0,31.7
103.0,31.4
105.0,26.1
107.0,26.1
109.0,26.1
111.0,26.1
113.0,26.1
115.0,26.1
117.0,26.1
119.0,26.1
121.0,26.1
123.0,26.1
125.0,26.1
127.0,26.1
129.0,26.1
131.0,26.1
133.0,26.1
135.0,26.1
137.0,26.1
139.0,26.1
141.0,26.1
143.0,26.1
145.0,26.1
147.0,26.1
149.0,26.1
151.0,26.1
153.0,26.1
155.0,26.1
157.0,36.8
159.0,33.6
161.0,33.6
163.0,35.7
165.0,36.5
167.0,35.7
169.0,35.7
171.0,35.7
173.0,35.7
175.0,35.7
177.0,35.7
179.0,35.7
181.0,35.7
183.0,35.7
185.0,35.7
187.0,35.7
189.0,35.7
191.0,35.7
193.0,35.7
195.0,26.3
197.0,67.7
199.0,38.6
201.0,38.6
203.0,38.6
205.0,38.6
207.0,38.6
209.0,38.6
211.0,38.6
213.0,38.6
215.0,38.6
217.0,38.6
219.0,38.6
221.0,38.6
223.0,38.6
225.0,38.6
227.0,38.6
229.0,38.6
231.0,38.6
233.0,38.6
235.0,38.6
237.0,38.6
239.0,38.6
241.0,38.6
243.0,38.6
245.0,38.6
247.0,38.6
249.0,38.6
251.0,38.6
253.0,132.1
255.0,38.6
257.0,38.6
259.0,38.6
261.0,38.6
263.0,38.6
265.0,38.6
267.0,39.4
269.0,39.4
271.0,39.4
273.0,39.4
275.0,39.4
277.0,38.6
279.0,38.6
281.0,51.8
283.0,51.8
285.0,51.5
287.0,50.2
289.0,50.2
291.0,50.2
293.0,38.6
295.0,38.6
297.0,38.6
299.0,38.6
301.0,38.6
303.0,38.6
305.0,38.6
307.0,38.6
309.0,38.6
311.0,38.6
313.0,38.6
315.0,38.6
317.0,169.6
319.0,152.5
321.0,122.2
323.0,38.6
325.0,38.6
327.0,38.6
329.0,38.6
331.0,49.0
333.0,130.1
335.0,59.6
337.0,59.6
339.0,59.6
341.0,59.6
343.0,59.6
345.0,59.6
347.0,59.6
349.0,59.6
351.0,59.6
353.0,59.6
355.0,59.6
357.0,59.6
359.0,59.6
361.0,59.6
363.0,59.6
365.0,59.6
367.0,59.6
369.0,59.6
371.0,59.6
373.0,59.6
375.0,59.6
377.0,59.6
379.0,59.6
381.0,59.6
383.0,59.6
385.0,59.6
387.0,59.6
389.0,59.6
391.0,59.6
393.0,47.5
395.0,43.5
397.0,24.9
399.0,24.9
401.0,45.8
403.0,46.7
405.0,37.7
407.0,38.1
409.0,38.9
411.0,38.1
413.0,38.1
415.0,30.2
417.0,30.2
419.0,21.3
421.0,21.0
423.0,21.0
425.0,21.0
427.0,21.0
429.0,21.0
431.0,37.9
433.0,45.0
435.0,45.0
437.0,42.4
439.0,42.4
441.0,42.4
443.0,36.7
445.0,31.6
447.0,31.6
449.0,21.0
451.0,21.0
453.0,21.0
455.0,21.0
457.0,21.0
459.0,31.9
461.0,27.5
463.0,28.5
465.0,26.5
467.0,26.5
469.0,26.5
471.0,26.5
473.0,23.1
475.0,22.6
477.0,21.0
479.0,21.0
481.0,21.0
483.0,21.0
485.0,32.8
487.0,29.7
489.0,29.7
491.0,29.7
493.0,29.7
495.0,28.5
497.0,28.5
499.0,24.9
501.0,24.9
