time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,60.00,0.00,1
3,0.00,0.00,0.00,0.00,40.63,0.00,1
5,0.00,0.00,0.00,0.00,47.95,0.00,1
7,0.00,0.00,0.00,0.00,55.84,0.00,1
9,0.00,0.00,0.00,0.00,56.91,0.00,1
11,0.00,0.00,0.00,0.00,58.37,0.00,1
13,0.00,0.00,0.00,0.00,58.05,0.00,1
15,0.00,0.00,0.00,0.00,57.55,0.00,1
17,0.00,0.00,0.00,0.00,55.49,0.00,1
19,0.00,0.00,0.10,0.67,54.35,2.00,1
21,0.00,0.00,0.12,1.49,54.45,1.00,3
23,0.00,0.00,0.05,0.63,46.05,0.00,3
25,0.60,2.40,0.27,2.63,35.49,0.00,3
27,2.29,4.89,0.72,4.63,28.94,0.00,3
29,4.19,7.94,1.49,6.63,24.55,0.00,3
31,9.70,17.55,2.60,8.63,21.47,1.00,3
33,10.73,17.31,3.74,10.63,22.72,0.00,3
35,12.55,20.55,4.91,12.63,23.05,0.00,3
37,14.80,24.95,6.08,14.63,21.42,0.00,3
39,16.37,25.42,7.24,16.63,21.93,0.00,3
41,18.76,30.89,8.41,18.63,21.48,0.00,2
43,20.45,30.71,9.58,20.63,20.86,0.00,2
45,21.24,30.71,10.81,22.63,21.94,0.00,2
47,23.88,35.86,12.14,24.63,21.64,2.00,2
49,25.51,36.98,11.12,24.67,22.52,2.00,2
51,23.09,36.98,11.51,26.67,21.05,1.00,2
53,21.50,44.39,12.29,28.67,19.89,1.00,4
55,24.02,50.19,12.57,30.67,18.92,1.00,4
57,25.93,50.13,13.34,32.67,19.13,1.00,4
59,26.55,50.13,14.50,34.67,16.92,1.00,4
61,28.90,53.73,12.75,36.67,13.79,0.00,1
63,31.45,58.37,13.82,38.67,10.26,0.00,1
65,35.23,67.04,14.98,40.67,9.86,0.00,1
67,38.21,72.49,16.15,42.67,11.41,2.00,1
69,41.59,81.38,16.43,41.29,12.30,2.00,1
71,42.18,81.44,16.89,43.29,12.92,2.00,1
73,46.14,86.41,16.52,39.06,14.72,2.00,1
75,46.63,88.16,15.37,35.28,14.37,2.00,1
77,37.96,88.16,15.28,32.19,14.12,2.00,1
79,32.72,90.27,15.21,27.60,15.47,1.00,1
81,35.00,94.63,16.27,29.60,16.27,3.00,1
83,23.68,42.13,13.78,31.60,16.71,2.00,3
85,17.29,30.56,12.99,33.60,21.06,1.00,3
87,19.89,30.56,12.71,35.60,24.77,0.00,3
89,20.15,30.56,14.04,37.60,24.92,3.00,3
91,16.01,30.56,13.24,39.60,24.08,2.00,3
93,18.41,30.56,12.10,41.60,20.13,1.00,3
95,20.86,35.19,12.33,43.60,15.92,1.00,2
97,21.28,35.80,11.71,45.60,13.33,0.00,2
99,26.68,35.80,12.88,47.60,14.64,0.00,2
101,30.90,35.80,14.21,49.60,16.39,2.00,2
103,32.86,35.80,14.65,47.58,17.66,2.00,2
105,33.69,36.13,15.06,45.01,19.63,2.00,4
107,19.52,35.78,16.18,45.65,20.67,2.00,4
109,20.32,35.78,16.81,40.80,21.32,0.00,4
111,22.50,38.88,18.64,42.80,19.37,2.00,4
113,25.72,45.65,16.16,44.80,16.83,0.00,1
115,28.63,51.84,17.66,46.80,12.98,0.00,1
117,34.07,55.23,19.16,48.80,11.61,0.00,1
119,35.13,55.20,20.66,50.80,14.85,2.00,1
121,37.53,55.20,22.11,52.80,16.67,2.00,1
123,40.56,55.20,22.46,54.80,16.57,2.00,1
125,42.54,55.20,22.12,56.80,16.42,2.00,1
127,39.48,57.02,21.02,58.80,16.90,3.00,1
129,19.88,56.92,20.49,60.80,17.79,2.00,1
131,20.21,58.26,19.49,62.80,17.79,1.00,1
133,22.84,63.06,19.97,64.80,18.24,1.00,1
135,22.99,62.95,21.22,66.80,19.75,2.00,1
137,23.19,62.95,21.12,68.80,19.55,1.00,3
139,24.82,62.95,21.98,70.80,20.02,0.00,3
141,25.89,62.95,23.35,72.80,18.72,1.00,3
143,28.19,68.75,22.99,74.80,16.77,1.00,3
145,27.95,73.65,21.95,76.80,16.07,1.00,3
147,31.64,75.05,22.61,78.80,15.23,1.00,2
149,32.38,75.05,23.81,80.80,15.37,1.00,2
151,35.14,75.05,25.00,82.80,14.96,0.00,2
