time,calc_time
1.00,0.20
9.00,0.10
19.00,0.09
29.00,0.08
39.00,0.09
49.00,0.08
59.00,0.08
69.00,0.09
79.00,0.08
89.00,0.09
99.00,0.08
109.00,0.09
119.00,0.09
129.00,0.09
139.00,0.09
149.00,0.14
159.00,0.09
169.00,0.10
179.00,0.10
189.00,0.09
199.00,0.10
209.00,0.11
219.00,0.14
229.00,0.09
239.00,0.10
249.00,0.10
259.00,0.11
269.00,0.10
279.00,0.14
289.00,0.10
299.00,0.10
309.00,0.09
319.00,0.10
329.00,0.10
339.00,0.10
349.00,0.10
359.00,0.10
369.00,0.13
379.00,0.38
389.00,0.10
399.00,0.11
409.00,0.10
419.00,0.10
429.00,0.10
439.00,0.30
449.00,0.11
459.00,0.10
469.00,0.09
479.00,0.10
489.00,0.10
499.00,0.23
