id,method,layout,inflow,value
1,Macro-State DRL,9-4-1-c-3-sb,balanced_800,126.48
2,Proposed DRL,9-4-1-c-3-sb,balanced_800,114.65
3,Proposed DRL,9-4-1-c-5-sb,balanced_800,112.92
