time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase,reward
1,0.00,0.00,0.00,0.00,60.00,0.00,0,
3,0.00,0.00,0.00,0.00,60.99,0.00,8,
5,0.00,0.00,0.00,0.00,55.46,0.00,8,
7,0.00,0.00,0.00,0.00,57.20,0.00,8,
9,0.00,0.00,0.00,0.00,57.99,0.00,8,4.00
11,0.00,0.00,0.00,0.00,58.31,0.00,8,
13,0.00,0.00,0.00,0.00,55.04,0.00,7,
15,0.00,0.00,0.00,0.00,49.82,0.00,7,
17,0.00,0.00,0.06,0.66,42.50,0.00,7,
19,0.37,1.46,0.33,2.66,40.26,0.00,7,2.03
21,0.96,3.84,0.91,4.66,36.64,1.00,7,
23,3.06,12.26,1.26,6.66,32.44,1.00,1,
25,3.08,12.31,1.72,8.66,33.30,1.00,1,
27,3.08,12.31,2.33,10.66,31.86,0.00,1,
29,4.42,12.31,3.06,12.66,34.02,1.00,1,2.35
31,4.50,12.31,3.74,14.66,35.30,1.00,1,
33,5.99,18.27,4.33,16.66,35.57,0.00,2,
35,6.08,18.65,4.99,18.66,36.33,1.00,2,
37,6.08,18.64,3.99,18.57,33.70,1.00,2,
39,3.66,8.94,3.08,19.01,29.80,2.00,2,2.20
41,1.88,5.68,2.74,15.69,30.53,1.00,2,
43,2.83,5.68,2.55,17.69,33.73,0.00,7,
45,5.20,15.22,3.30,19.69,38.74,1.00,7,
47,6.33,16.79,3.49,21.69,42.36,1.00,7,
49,3.83,5.57,2.47,10.65,43.67,1.00,7,2.58
51,2.62,5.57,2.53,12.65,42.03,1.00,7,
53,2.62,5.57,2.62,14.65,36.92,1.00,1,
55,2.46,5.57,3.18,16.65,33.46,1.00,1,
57,2.46,5.57,3.08,18.65,29.51,0.00,1,
59,3.54,5.57,4.08,20.65,28.26,2.00,1,1.98
61,4.64,6.51,4.46,22.65,26.80,3.00,1,
63,6.96,11.15,4.64,24.65,28.25,0.00,2,
65,7.91,11.08,5.44,26.65,33.32,1.00,2,
67,7.10,11.08,5.85,28.65,35.82,1.00,2,
69,4.16,11.08,5.71,30.65,34.83,2.00,2,2.78
71,4.16,11.08,5.43,32.65,31.77,2.00,2,
73,4.65,11.08,5.58,34.65,31.11,0.00,5,
75,4.16,11.08,6.41,36.65,32.02,1.00,5,
77,4.38,9.06,6.95,38.65,34.04,1.00,5,
79,2.81,5.66,6.83,40.65,35.72,2.00,5,2.81
81,4.23,11.35,5.96,42.65,37.59,1.00,5,
83,4.52,12.52,6.50,44.65,39.30,0.00,7,
85,4.52,12.52,7.16,46.65,40.18,2.00,7,
87,4.67,10.32,5.88,48.65,39.64,1.00,7,
89,3.08,11.26,6.27,50.65,40.41,2.00,7,2.39
91,3.96,11.22,5.01,52.65,38.02,1.00,7,
93,5.22,11.22,5.56,54.65,37.25,2.00,1,
95,6.28,11.22,6.00,56.65,35.54,0.00,1,
97,8.10,16.32,6.87,58.65,33.35,2.00,1,
99,7.65,14.10,7.41,60.65,31.92,1.00,1,2.25
101,9.66,17.94,8.13,62.65,30.63,2.00,1,
103,9.84,17.89,9.13,64.65,28.22,2.00,4,
105,11.18,17.89,9.58,66.65,27.36,0.00,4,
107,11.45,17.86,10.80,68.65,28.54,2.00,4,
109,9.83,23.41,8.13,23.48,29.79,4.00,4,2.15
111,9.94,24.31,7.26,21.76,26.24,1.00,4,
113,12.17,28.15,7.31,23.76,22.31,2.00,1,
115,16.86,38.26,8.08,25.76,22.62,0.00,1,
117,19.68,49.73,9.15,27.76,22.95,2.00,1,
119,22.52,61.08,9.71,29.76,24.98,1.00,1,2.42
121,25.35,68.73,10.46,31.76,24.25,1.00,1,
123,28.19,70.46,11.29,33.76,22.15,3.00,1,
125,29.47,72.51,11.62,35.76,18.64,1.00,1,
127,31.31,76.79,12.02,37.76,17.62,1.00,1,
129,24.91,45.76,13.07,39.76,16.33,1.00,1,2.00
131,18.76,29.27,14.35,41.76,15.51,2.00,1,
133,19.09,30.63,15.93,43.76,17.16,2.00,3,
135,20.28,30.62,17.19,45.76,21.77,1.00,3,
137,19.78,30.62,18.15,47.76,23.44,2.00,3,
139,21.43,30.53,17.94,46.85,23.38,3.00,3,2.01
141,18.70,28.58,13.54,48.85,23.09,1.00,3,
143,19.53,30.23,13.93,50.85,21.67,1.00,1,
145,17.87,30.22,14.35,52.85,21.13,1.00,1,
147,20.61,30.22,15.06,54.85,19.76,0.00,1,
149,18.74,32.14,16.67,56.85,19.93,2.00,1,1.47
151,19.87,35.73,15.52,58.85,19.62,1.00,1,
153,14.09,24.71,16.95,60.85,19.20,2.00,5,
155,16.52,24.71,18.10,62.85,22.05,1.00,5,
157,16.03,24.71,17.88,64.85,25.24,2.00,5,
