id,method,layout,inflow,value
1,Macro-State DRL,9-4-1-c-3,unbalanced_1,141.75
2,Macro-State DRL,9-4-1-c-7,balanced_800,159.42
3,Macro-State DRL,9-4-1-c-7,unbalanced_1,149.08
