id,ratio1,ratio2,ratio3,description
1,1,1,1,The same turning ratio in all directions.
2,3,1,1,Many left turns.
3,1,3,1,Many through movements.
4,1,1,3,Many right turns.
5,1,3,3,Few left turns.
6,3,1,3,Few through movements.
7,3,3,1,Few right turns.
8,1,0,0,Only left turn.
9,0,1,0,Only straight.
10,0,0,1,Only right turn.
11,1,1,2,
