time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,51.55
9,0.00,0.00,0.00,0.00,0.00,61.20
11,0.00,0.00,0.00,0.00,0.00,62.45
13,0.00,0.00,0.00,0.00,0.00,62.30
15,0.00,0.00,0.00,0.00,0.00,56.45
17,0.00,0.00,0.00,0.00,0.00,41.70
19,0.00,0.00,0.00,0.00,0.00,29.97
21,0.30,0.00,0.00,1.63,0.00,21.80
23,8.95,0.00,0.00,3.63,0.00,19.40
25,10.89,0.00,0.00,5.63,0.00,26.23
27,10.88,0.00,0.00,7.63,0.00,25.80
29,10.88,0.00,0.00,9.63,0.00,23.35
31,10.88,0.00,0.00,11.63,0.00,20.95
33,10.88,0.00,0.00,13.63,1.69,23.90
35,10.88,0.00,0.00,15.63,3.69,19.36
37,10.88,10.69,0.00,17.63,5.69,20.42
39,6.82,10.75,0.00,19.63,7.69,32.38
41,0.00,10.74,0.00,20.20,9.69,35.10
43,0.00,10.74,0.00,5.37,11.69,28.03
45,0.00,10.74,0.00,0.00,13.69,30.45
47,0.00,13.30,0.00,0.00,15.69,29.37
49,0.00,16.62,0.00,0.00,17.69,32.32
51,0.00,16.57,0.00,0.00,19.69,28.50
53,0.00,16.57,0.00,0.00,21.69,25.28
55,0.00,21.67,0.00,0.00,23.69,28.74
57,0.00,22.61,0.00,0.00,25.69,31.99
59,0.00,22.60,0.00,0.67,27.69,29.47
61,4.99,9.87,0.00,2.67,10.99,34.89
63,5.29,0.00,0.00,4.67,12.99,41.16
65,5.29,0.00,0.00,6.67,4.12,44.41
67,5.29,0.00,0.00,8.67,0.30,43.46
69,5.29,0.00,0.00,10.67,2.30,42.22
71,5.29,0.00,0.00,12.67,3.12,42.34
73,5.29,0.00,0.00,14.67,2.40,35.28
75,5.29,0.00,0.00,16.67,0.00,24.64
77,8.25,0.00,0.00,18.67,0.00,24.70
79,17.37,0.00,1.78,20.67,0.38,21.37
81,18.07,4.50,3.78,22.67,2.38,17.17
83,18.07,5.28,5.78,24.67,4.38,12.10
85,18.07,5.28,7.78,26.67,6.38,14.40
87,18.07,11.33,9.78,28.67,8.38,11.56
89,18.07,12.06,11.78,30.67,10.38,9.76
91,23.41,12.06,13.78,32.67,12.38,14.39
93,23.70,12.06,15.78,34.67,14.38,12.51
95,23.70,12.06,17.78,36.67,16.38,9.90
97,23.70,12.06,19.78,38.67,18.38,8.15
99,23.70,17.30,21.78,40.67,20.38,5.90
101,23.70,18.70,23.78,42.67,22.38,4.14
103,23.70,18.68,25.78,44.67,24.38,6.26
105,23.70,7.19,27.78,46.67,20.35,3.84
107,23.70,0.00,29.78,48.67,10.67,13.43
109,23.70,0.00,31.78,50.67,5.27,11.20
111,23.70,0.00,33.78,52.67,0.00,19.45
113,23.70,0.00,35.78,54.67,0.00,32.47
115,23.70,0.00,37.78,56.67,0.00,40.21
117,21.01,0.00,39.78,42.17,0.00,45.07
119,0.00,0.00,41.78,30.74,0.00,49.42
121,0.00,0.00,0.00,32.74,0.00,43.10
123,0.00,0.00,0.43,0.00,0.00,44.52
125,0.00,0.00,2.43,0.00,0.52,42.18
127,0.00,2.89,0.00,0.73,2.52,34.23
129,0.61,5.35,0.00,2.73,4.52,27.64
131,11.01,5.32,0.00,4.73,6.52,23.14
133,17.25,5.32,0.00,6.73,8.52,23.06
135,17.14,5.32,0.00,8.73,10.52,22.86
137,22.29,5.32,0.00,10.73,12.52,18.17
139,24.14,6.34,0.00,12.73,14.52,19.60
141,25.31,11.50,1.29,14.73,16.52,19.96
143,31.40,8.23,3.29,16.73,18.52,17.77
145,31.25,0.00,5.29,18.73,6.77,12.91
147,31.25,0.00,7.29,20.73,1.92,4.63
149,35.72,0.00,9.29,22.73,0.00,1.60
151,37.24,0.00,11.29,24.73,0.00,0.16
153,43.08,0.00,13.29,26.73,0.00,1.03
