index,id,method,layout,inflow,count,queue_avg_mean,queue_max_mean,delay_avg_mean,delay_max_mean,speed_avg_mean,phase_changes_mean,reward_mean,spillback_events_mean,queue_avg_std,queue_max_std,delay_avg_std,delay_max_std,speed_avg_std,phase_changes_std,reward_std,spillback_events_std
0,1,4-Phase DRL,9-4-1-c-1,balanced_500,9,7.731810535635237,16.842372731297033,6.486054227746899,31.097672559259756,24.677217795484733,95.55555555555556,206.93222222222226,0.0,0.8263189380605208,1.782679534304209,0.8664823591558856,3.854049381802304,0.9126910854609467,1.5898986690282426,9.357228192389263,0.0
1,2,4-Phase DRL,9-4-1-c-1,balanced_600,9,12.159676848162905,24.693342186808323,9.953861967904443,39.66295422586989,22.09154271801682,94.77777777777777,192.79444444444442,0.0,1.5355711723052288,3.198502711659363,1.4168118794852105,5.31214547853798,0.9591781675425466,2.1081851067789192,10.133397889048757,0.0
2,3,4-Phase DRL,9-4-1-c-1,balanced_700,9,22.0369212040726,43.494305002213366,16.49928129390174,58.496147569611786,18.334021691013724,92.11111111111111,170.18222222222224,0.0,4.345016426888128,7.846314508600806,3.4729492520960985,12.356314892706509,1.6270952233949407,2.5221243250702594,15.054851193035574,0.0
3,4,4-Phase DRL,9-4-1-c-1,balanced_800,9,42.7316356795042,85.2855998229305,29.08810018530142,89.63466014839342,14.35662461266047,87.77777777777777,137.66444444444446,93.77777777777777,11.952730618475174,25.01415010257644,5.837912469370908,12.101684348408883,1.7034848873842572,2.6352313834736494,14.459731248463017,79.10401029305939
4,5,4-Phase DRL,9-4-1-c-1,main-minor,9,29.467952633908812,66.46654050464808,19.924026255873123,63.406483923728565,17.032804338202745,91.66666666666667,158.28666666666666,63.111111111111114,15.046076328142615,32.9137120256047,8.508806400498694,19.731099240863113,3.5123044742865774,3.082207001484488,26.88077426340246,87.87554330478481
5,6,4-Phase DRL,9-4-1-c-1,unbalanced_1,9,27.204074811863656,61.80500221336875,18.82410658235999,61.73161213141566,18.144422310756973,91.22222222222223,165.14777777777778,54.44444444444444,20.233800531937582,44.77079579950609,12.21409740318855,27.685615767284286,5.083613410999605,5.696002496878354,35.49936294420569,96.91118499831573
6,7,4-Phase DRL,9-4-1-c-1-sb,balanced_500,9,7.732467906153165,17.177576361221778,6.491301148329453,30.020429818438643,24.67513501549358,95.88888888888889,207.3422222222222,0.0,0.6083122722571735,1.110720242478847,0.7621273094283116,2.88230275968878,0.7046111533521962,3.018461712712472,7.037182990689135,0.0
7,8,4-Phase DRL,9-4-1-c-1-sb,balanced_600,9,12.810002213368747,26.844940239043822,10.171132585831671,40.59889895427862,21.741004869411245,95.11111111111111,192.32000000000002,0.0,2.620740939683246,4.917340529183867,1.6941239039305647,4.379188541581072,1.2410680866278112,2.891558595482912,12.56091955232577,0.0
8,9,4-Phase DRL,9-4-1-c-1-sb,balanced_700,9,28.197388224878267,59.99505754758742,18.498721541429838,58.03665383262947,17.232649402390436,88.55555555555556,161.07888888888888,38.44444444444444,9.892859623960344,20.825928937840793,4.721058080664959,8.612331956475778,1.7703580086776858,4.18661889569349,16.285707264687993,55.13417975972598
9,10,4-Phase DRL,9-4-1-c-1-sb,balanced_800,9,49.0779991146525,102.26625719344844,31.392993623351522,87.17085521554262,13.73773572377158,87.0,125.59444444444443,161.55555555555554,12.431619188115214,22.062063003261553,7.457619371462972,15.58518043261446,1.8699103160435762,4.387482193696061,17.302184913408418,128.1162666400242
10,11,4-Phase DRL,9-4-1-c-1-sb,main-minor,9,33.960559982293056,75.8883598937583,22.17190886304226,65.74161429182901,16.3509185480301,89.55555555555556,149.29222222222222,109.55555555555556,18.36255472971479,38.74848890051636,10.60161720814349,20.798186448767385,3.8920792513462503,3.431876713662333,32.65953604147562,126.50208606097284
11,12,4-Phase DRL,9-4-1-c-1-sb,unbalanced_1,9,30.95433820274458,72.1428353253652,20.483024370866648,64.58262281980552,17.36332890659584,90.88888888888889,158.41555555555556,81.11111111111111,21.320888135933814,47.15382804001706,12.290726068759382,23.83226153328099,5.2195591724530965,4.910306620885412,38.44269505091673,117.46961782142272
12,13,4-Phase DRL,9-4-1-c-2,balanced_500,9,6.354081451969899,15.121558211598053,5.416665218503729,28.81074990715046,26.969583886675522,95.0,237.28333333333336,0.0,0.6833628906840684,1.5081087871545649,0.6674957373238414,3.4352651127827727,0.8976268282086513,1.6583123951777,4.651209520114102,0.0
13,14,4-Phase DRL,9-4-1-c-2,balanced_600,9,10.477204515272247,24.03080787959274,8.63087636151544,39.18631569944151,23.60320717131474,92.33333333333333,220.01666666666668,0.0,1.7870159913816985,4.315530189417273,1.9462332933683955,8.042016548728522,1.3390167444106267,2.29128784747792,6.154701454985457,0.0
14,15,4-Phase DRL,9-4-1-c-2,balanced_700,9,17.942452412571935,41.52602921646746,13.249858935357306,53.29218892512711,20.789778663125276,88.22222222222223,209.31555555555553,0.2222222222222222,5.2403311436639655,13.72879677655943,3.7190734729883035,11.83709718238236,2.0432009143531404,4.206476488041321,13.408541224822994,0.6666666666666666
15,16,4-Phase DRL,9-4-1-c-2,balanced_800,9,33.21789287295264,71.97406153165117,21.980748509320854,74.35887640596012,17.01042496679947,85.66666666666667,183.16333333333333,36.888888888888886,11.589979039479195,24.27002319556215,6.884675759258657,16.018510666581584,2.7162836781503854,3.872983346207417,15.638385466537143,44.16006239931179
16,17,4-Phase DRL,9-4-1-c-2,main-minor,9,22.721806108897745,56.3065980522355,14.533598152010768,54.86572288873954,19.673804780876495,87.22222222222223,201.46444444444444,27.11111111111111,10.383701994861056,27.558835160728787,6.286275539185139,18.57112987682997,3.2068579560978514,3.492054473292827,21.699441877103148,35.76466288267109
17,18,4-Phase DRL,9-4-1-c-2,unbalanced_1,9,27.020356352368307,65.51201859229747,15.675233110801056,54.19805002861732,20.45494466578132,87.55555555555556,201.66666666666666,87.11111111111111,24.60747027805914,60.597507015726535,11.168507669509856,26.28695207026428,5.3155952838560045,6.385748020222672,35.6626012091098,183.82902684590135
18,19,4-Phase DRL,9-4-1-c-2-sb,balanced_500,9,6.94945551128818,16.881164231961044,6.082867498004976,32.55154130130205,26.285590969455516,94.88888888888889,231.79444444444445,0.0,1.4913454949924778,3.745495586489033,0.8392963305753804,5.425946973717071,1.1940377197448135,2.4209731743889917,7.997715472419463,0.0
19,20,4-Phase DRL,9-4-1-c-2-sb,balanced_600,9,10.611593625498008,24.796252766710936,8.825872219783754,40.03560895475934,23.76684816290394,91.66666666666667,223.38333333333333,0.0,2.7603791003940765,6.388989933906763,2.5085512408378876,8.716271079117366,2.220190751119235,3.082207001484488,11.84549175847081,0.0
20,21,4-Phase DRL,9-4-1-c-2-sb,balanced_700,9,20.03569721115538,45.918574590526774,15.079973457882598,56.5142775101763,20.02256086764055,86.77777777777777,202.26444444444442,14.0,6.52691041563746,17.151418413900466,3.8431106062522793,10.27158929376602,2.023629061828972,5.044248650140519,12.346666666666668,40.52159917870962
