time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,60.00,0.00,1
3,0.00,0.00,0.00,0.00,46.54,0.00,1
5,0.00,0.00,0.00,0.00,54.17,0.00,1
7,0.00,0.00,0.00,0.00,60.20,0.00,1
9,0.00,0.00,0.00,0.00,56.11,0.00,1
11,0.00,0.00,0.00,0.00,54.57,0.00,1
13,0.00,0.00,0.00,0.00,53.36,0.00,1
15,0.00,0.00,0.00,0.00,47.86,0.00,1
17,0.00,0.00,0.07,0.87,40.25,0.00,1
19,0.37,1.46,0.33,2.87,42.16,0.00,1
21,1.77,7.07,0.80,4.87,42.53,0.00,3
23,3.10,12.41,1.44,6.87,37.24,0.00,3
25,3.64,12.31,2.10,8.87,34.49,1.00,3
27,5.59,12.31,1.86,9.11,28.96,0.00,3
29,6.24,15.07,2.36,11.11,24.42,0.00,3
31,8.52,18.70,2.86,13.11,17.30,0.00,3
33,8.77,18.65,3.43,15.11,10.76,1.00,3
35,9.12,18.65,4.10,17.11,7.75,0.00,3
37,10.56,18.65,5.06,19.11,15.62,1.00,3
39,13.06,18.65,5.77,21.11,20.58,0.00,2
41,12.98,18.65,6.60,23.11,26.15,0.00,2
43,12.98,18.65,7.44,25.11,30.82,0.00,2
45,12.97,18.64,8.27,27.11,30.41,1.00,2
47,10.55,16.42,6.68,27.68,32.65,1.00,2
49,8.31,16.42,6.62,27.59,32.03,2.00,2
51,9.53,21.27,5.57,29.59,29.85,1.00,4
53,9.84,22.53,6.08,31.59,24.09,0.00,4
55,10.60,23.62,6.81,33.59,22.10,2.00,4
57,9.75,29.91,7.17,31.71,23.01,2.00,4
59,8.88,35.53,5.74,33.71,22.37,2.00,1
61,11.02,33.30,4.16,30.81,24.97,2.00,1
63,5.25,10.61,3.00,12.57,26.05,1.00,1
65,6.81,13.99,3.34,14.45,29.76,1.00,1
67,7.97,17.14,3.14,16.45,35.33,1.00,1
69,7.96,17.12,2.78,18.45,36.81,0.00,1
71,7.96,17.12,3.45,20.45,36.09,1.00,1
73,7.96,17.12,3.72,22.45,33.12,1.00,1
75,7.96,17.12,4.26,24.45,30.59,0.00,1
