time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,60.00,0.00,1
3,0.00,0.00,0.00,0.00,48.22,0.00,1
5,0.00,0.00,0.00,0.00,56.87,0.00,1
7,0.00,0.00,0.00,0.00,60.04,0.00,1
9,0.00,0.00,0.00,0.00,57.33,0.00,1
11,0.00,0.00,0.00,0.00,54.18,0.00,1
13,0.00,0.00,0.00,0.00,49.91,0.00,1
15,0.00,0.00,0.00,0.00,46.37,0.00,1
17,0.00,0.00,0.05,0.61,42.62,0.00,1
19,0.84,2.13,0.43,2.61,42.89,0.00,1
21,2.65,10.58,0.93,4.61,38.67,0.00,3
23,3.08,12.32,1.43,6.61,33.82,0.00,3
25,3.93,15.72,2.08,8.61,32.30,1.00,3
27,4.93,18.68,1.88,10.00,28.43,0.00,3
29,7.30,18.65,2.54,12.00,29.04,0.00,3
31,9.49,18.65,3.21,14.00,29.36,0.00,3
33,10.75,18.65,3.88,16.00,29.20,0.00,3
35,11.60,18.65,4.57,18.00,25.77,1.00,3
37,11.59,18.65,5.21,20.00,19.93,0.00,3
39,12.98,24.23,5.99,22.00,14.37,1.00,2
41,15.23,32.27,6.76,24.00,11.82,0.00,2
43,17.28,35.71,7.60,26.00,15.97,0.00,2
45,18.36,38.33,8.43,28.00,20.52,1.00,2
47,20.82,43.27,6.76,28.55,22.34,1.00,2
49,21.23,45.03,7.08,25.82,27.32,1.00,2
51,18.90,35.68,6.98,27.82,29.53,1.00,2
53,9.98,17.92,7.30,29.82,26.91,0.00,4
55,10.64,20.56,8.22,31.82,25.14,1.00,4
57,12.45,24.02,9.22,33.82,26.39,4.00,4
59,15.82,29.39,9.19,31.97,28.04,1.00,4
61,15.38,30.44,8.47,33.97,28.99,2.00,1
63,8.18,16.38,7.97,30.06,27.37,2.00,1
65,5.59,17.38,6.06,17.54,24.95,2.00,1
67,5.41,17.38,6.42,19.54,19.94,2.00,1
69,6.60,18.16,5.98,21.54,16.71,2.00,1
71,11.68,29.10,5.77,23.54,17.29,0.00,1
73,13.03,30.60,6.61,25.54,21.50,0.00,1
75,13.03,30.60,7.61,27.54,26.23,1.00,1
77,13.03,30.60,8.27,29.54,25.43,0.00,1
79,13.03,30.60,9.26,31.54,24.85,1.00,1
81,13.70,30.60,9.98,33.54,25.09,1.00,1
83,14.60,30.60,10.77,35.54,26.26,0.00,1
85,14.59,30.60,11.61,37.54,23.43,0.00,3
87,14.59,30.60,12.51,39.54,23.08,0.00,3
89,15.31,30.60,13.72,41.54,24.17,0.00,3
91,16.59,30.60,15.06,43.54,26.38,1.00,3
93,15.46,30.57,15.35,44.88,28.79,3.00,2
95,13.93,29.34,11.36,37.07,28.11,1.00,2
97,14.93,26.53,11.69,39.07,26.07,0.00,2
99,16.12,22.79,12.87,41.07,22.85,1.00,2
