time,calc_time
1.00,0.17
9.00,0.10
19.00,0.09
29.00,0.09
39.00,0.09
49.00,0.09
59.00,0.09
69.00,0.09
79.00,0.10
89.00,0.10
99.00,0.10
109.00,0.09
119.00,0.11
129.00,0.10
139.00,0.09
149.00,0.09
159.00,0.10
169.00,0.10
179.00,0.10
189.00,0.09
199.00,0.10
209.00,0.09
219.00,0.10
229.00,0.11
239.00,0.10
249.00,0.09
259.00,0.10
269.00,0.10
279.00,0.35
289.00,0.08
299.00,0.09
309.00,0.10
319.00,0.24
329.00,0.09
339.00,0.10
349.00,0.10
359.00,0.12
369.00,0.11
379.00,0.09
389.00,0.09
399.00,0.10
409.00,0.23
419.00,0.08
429.00,0.10
439.00,0.10
449.00,0.09
459.00,0.09
469.00,0.10
479.00,0.10
489.00,0.10
499.00,0.10
509.00,0.09
519.00,0.11
529.00,0.09
539.00,0.09
549.00,0.09
559.00,0.09
569.00,0.09
579.00,0.09
589.00,0.10
599.00,0.09
609.00,0.10
619.00,0.10
629.00,0.09
639.00,0.09
649.00,0.09
659.00,0.09
669.00,0.09
679.00,0.09
689.00,0.09
699.00,0.10
709.00,0.11
719.00,0.10
729.00,0.10
739.00,0.09
749.00,0.09
759.00,0.09
769.00,0.09
779.00,0.09
789.00,0.10
799.00,0.10
809.00,0.11
819.00,0.08
829.00,0.11
839.00,0.09
849.00,0.09
859.00,0.10
869.00,0.10
879.00,0.10
889.00,0.09
899.00,0.09
909.00,0.10
919.00,0.10
929.00,0.09
939.00,0.09
949.00,0.31
959.00,0.09
969.00,0.11
979.00,0.11
989.00,0.10
999.00,0.09
