time,queue_main,queue_right,delay_direction_1,delay_direction_2,delay_direction_3,speed
1,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,47.80
9,0.00,0.00,0.00,0.00,0.00,53.40
11,0.00,0.00,0.00,0.00,0.00,58.13
13,0.00,0.00,0.00,0.00,0.00,57.62
15,0.00,0.00,0.00,0.00,0.00,57.02
17,0.00,0.00,0.00,0.00,0.00,54.04
19,0.00,0.00,0.00,0.00,0.00,45.28
21,0.00,0.00,0.00,0.00,0.00,40.82
23,0.00,0.00,1.22,0.00,0.27,31.95
25,0.00,3.90,2.18,0.00,2.27,29.40
27,0.00,5.19,0.00,1.34,4.27,20.85
29,0.00,4.86,0.00,0.00,6.27,27.90
31,0.00,0.00,1.83,0.00,8.27,8.50
33,1.20,0.00,3.83,0.00,0.00,0.60
35,2.17,0.00,5.83,0.00,0.00,0.00
37,0.00,0.00,7.83,0.00,0.00,0.00
39,0.00,0.00,9.83,0.00,0.00,0.00
41,0.00,0.00,11.83,0.00,0.00,0.00
43,0.00,0.00,13.83,0.00,0.00,22.00
45,0.00,0.00,15.83,0.00,0.00,34.80
47,0.00,0.00,17.83,0.00,0.00,40.33
49,0.00,0.00,19.83,0.00,0.00,58.45
51,0.00,0.00,0.00,0.00,0.00,59.10
53,0.00,0.00,0.00,0.00,0.00,59.70
55,0.00,0.00,0.00,0.00,0.00,50.90
57,0.00,0.00,0.00,0.66,0.00,20.60
59,0.00,0.00,0.00,0.00,0.42,5.00
61,0.00,3.15,0.00,0.00,2.42,0.00
63,0.00,5.27,0.00,0.00,4.42,23.40
65,0.00,5.25,0.00,0.00,6.42,27.15
67,0.00,5.25,0.00,0.00,8.42,30.65
69,0.00,5.25,0.00,0.00,10.42,33.80
71,0.00,5.25,0.00,0.00,12.42,40.37
73,0.00,5.25,0.00,0.00,14.42,36.40
75,0.00,5.25,0.00,0.00,16.42,29.47
77,0.00,5.25,0.00,0.76,18.42,23.77
79,1.58,5.25,0.00,2.76,20.42,19.67
81,4.74,5.25,0.00,4.76,22.42,22.52
83,4.67,5.25,0.00,6.76,24.42,26.20
85,4.67,5.25,0.00,8.76,26.42,25.24
87,4.67,10.43,0.00,10.76,28.42,29.60
89,4.67,11.04,0.00,12.76,30.42,28.70
91,4.67,11.04,0.00,14.76,32.42,28.51
93,4.67,11.04,0.00,16.76,34.42,24.19
95,4.67,11.04,0.00,18.76,36.42,23.95
97,10.64,11.04,0.00,20.76,38.42,19.88
99,17.30,11.04,1.36,22.76,40.42,16.05
101,19.13,11.04,3.36,24.76,42.42,9.59
103,24.57,11.04,5.36,26.76,44.42,4.50
105,25.09,11.04,7.36,28.76,46.42,2.58
107,32.92,8.52,9.36,30.76,48.42,5.44
109,36.93,0.00,11.36,15.84,24.05,11.18
111,36.81,0.00,13.36,6.82,0.00,19.57
113,12.57,0.00,11.68,8.82,0.00,26.85
115,0.00,0.00,0.00,10.82,0.00,16.70
117,0.00,0.00,0.00,10.24,0.00,1.60
119,4.63,0.00,0.00,12.24,0.00,0.00
121,4.91,0.00,0.00,14.24,0.00,0.00
123,4.91,0.00,0.00,16.24,0.00,24.05
125,4.91,0.00,0.00,18.24,0.00,38.50
127,4.91,0.00,0.00,20.24,0.00,40.30
129,4.91,0.00,0.00,22.24,0.00,40.23
131,4.91,0.00,0.00,24.24,0.00,39.20
133,4.91,0.00,0.00,26.24,0.00,28.53
135,4.91,0.00,0.00,28.24,0.00,15.30
137,4.83,0.00,0.00,30.24,0.00,24.27
139,0.00,0.00,0.68,32.24,0.00,27.20
141,0.00,0.00,2.68,5.61,0.00,41.20
143,0.00,0.00,4.68,0.00,0.00,55.25
145,0.00,0.00,0.00,0.00,0.00,60.15
147,0.00,0.00,0.00,0.00,0.00,53.80
149,0.00,0.00,0.00,0.00,0.00,47.87
151,0.00,0.00,0.00,0.46,0.00,38.60
153,1.85,0.00,0.00,2.46,0.00,29.80
