time,queue_avg,queue_max,delay_avg,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,44.30,3
3,0.00,0.00,0.00,0.00,53.03,3
5,0.00,0.00,0.00,0.00,54.63,3
7,0.00,0.00,0.00,0.00,56.98,3
9,0.00,0.00,0.00,0.00,59.97,1
11,0.00,0.00,0.00,0.00,57.68,1
13,0.00,0.00,0.00,0.00,52.46,1
15,0.00,0.00,0.00,0.00,46.43,1
17,0.33,1.31,0.27,1.96,38.71,1
19,1.16,4.65,0.58,3.96,35.42,1
21,2.48,4.55,1.13,5.96,31.49,1
23,6.28,11.01,2.19,7.96,30.23,2
25,6.41,10.88,3.15,9.96,31.06,2
27,6.41,10.88,3.96,11.96,31.45,2
29,6.41,10.88,5.25,13.96,32.41,2
31,5.39,6.82,6.73,15.96,34.74,4
33,6.25,8.50,7.93,17.96,33.75,4
35,8.01,11.57,8.48,19.96,29.47,4
37,7.96,11.48,9.90,21.96,33.56,4
39,5.63,8.33,10.97,23.96,34.24,3
41,3.54,5.14,9.16,25.96,31.73,3
43,6.58,15.75,8.53,27.96,33.79,3
45,6.84,18.05,9.60,29.96,36.45,3
47,6.75,18.04,10.69,31.96,34.45,3
49,6.85,18.04,3.70,16.25,35.41,3
51,8.20,18.04,4.16,18.25,32.58,3
53,8.38,18.04,5.07,20.25,29.38,3
55,9.20,18.04,5.44,22.25,30.14,3
57,10.83,18.04,6.13,24.25,27.32,3
59,14.13,23.72,7.03,26.25,25.89,3
61,15.40,28.88,7.95,28.25,23.67,3
63,15.38,28.82,8.77,30.25,19.38,3
65,15.92,30.97,9.64,32.25,17.79,4
67,17.05,35.48,10.83,34.25,13.79,4
69,18.61,39.06,11.90,36.25,13.97,4
71,20.28,42.23,13.59,38.25,14.12,4
73,20.27,42.20,13.94,40.25,13.14,4
75,20.27,42.20,14.34,42.25,12.39,4
77,18.25,29.40,15.64,44.25,11.74,4
79,18.66,29.40,17.19,46.25,15.85,4
81,18.66,29.40,17.85,48.25,14.80,1
83,18.66,29.40,17.68,50.25,14.58,1
85,20.14,29.40,17.25,52.25,17.53,1
87,20.43,29.40,18.87,54.25,19.90,1
89,19.70,29.40,18.82,56.25,24.18,1
91,12.94,29.40,17.91,58.25,22.23,1
93,13.13,29.40,17.24,60.25,21.45,2
95,15.39,29.40,17.35,62.25,22.40,2
97,16.77,31.82,19.03,64.25,27.33,2
99,17.00,35.84,20.70,66.25,29.33,2
101,16.49,36.51,19.71,52.73,27.35,2
103,18.35,43.95,20.12,41.68,27.35,2
105,20.68,53.25,21.11,41.24,27.55,2
107,19.42,45.48,20.70,38.10,24.32,2
109,12.44,18.74,20.57,40.10,22.17,3
111,14.35,22.37,21.38,42.10,18.96,3
113,16.77,24.45,22.84,44.10,17.95,3
115,18.87,27.73,24.59,46.10,16.25,3
117,22.76,39.88,21.42,44.41,13.09,3
119,22.33,42.99,17.00,33.51,10.05,3
121,21.22,29.96,17.65,35.51,9.04,4
123,21.65,36.19,17.40,37.51,8.94,4
125,21.81,36.80,18.96,39.51,9.74,4
127,20.89,36.80,20.43,41.51,9.20,4
129,17.55,36.80,17.65,30.98,9.75,2
131,17.52,36.80,14.58,27.75,13.44,2
133,17.49,36.80,14.42,29.75,18.57,2
135,16.30,36.80,16.06,31.75,21.31,2
