time,value
1.0,60.0
3.0,50.1
5.0,52.95
7.0,56.23333333333333
9.0,61.8
11.0,61.38000000000001
13.0,54.38333333333333
15.0,49.214285714285715
17.0,46.62222222222222
19.0,45.830000000000005
21.0,47.88461538461537
23.0,47.899999999999984
25.0,47.53125
27.0,44.452941176470574
29.0,41.56875
31.0,37.271428571428565
33.0,29.224999999999998
35.0,25.43846153846154
37.0,26.57857142857143
39.0,27.25
41.0,27.684615384615388
43.0,33.04705882352941
45.0,32.38333333333333
47.0,27.433333333333334
49.0,25.54210526315789
51.0,24.30952380952381
53.0,21.863636363636363
55.0,17.70909090909091
57.0,17.778260869565216
59.0,19.143999999999995
61.0,17.195999999999998
63.0,15.574999999999998
65.0,15.395238095238096
67.0,15.516666666666667
69.0,19.577777777777772
71.0,23.34705882352941
73.0,29.72222222222222
75.0,29.87333333333333
77.0,31.159999999999993
79.0,31.2764705882353
81.0,31.419999999999998
83.0,30.926086956521736
85.0,28.612499999999997
87.0,31.656000000000002
89.0,31.742307692307698
91.0,29.703571428571422
93.0,27.41875
95.0,24.681818181818187
97.0,21.49705882352941
99.0,18.10294117647059
101.0,18.752631578947366
103.0,18.42105263157895
105.0,16.71944444444445
107.0,17.188571428571425
109.0,15.784375
111.0,14.53793103448276
113.0,15.906896551724135
115.0,17.7
117.0,18.66774193548387
119.0,19.796874999999996
121.0,22.75
123.0,24.072727272727274
125.0,22.052941176470586
127.0,18.67142857142857
129.0,17.5078947368421
131.0,16.415
133.0,15.421428571428569
135.0,14.88974358974359
137.0,18.276923076923076
139.0,18.8725
141.0,19.410526315789475
143.0,18.769444444444446
145.0,18.545714285714286
147.0,20.473684210526315
149.0,18.744444444444444
151.0,17.944117647058825
153.0,18.188235294117646
155.0,16.63529411764706
157.0,15.636363636363637
159.0,16.444117647058825
161.0,15.528571428571432
163.0,15.55714285714286
165.0,14.902857142857144
167.0,16.09444444444444
169.0,15.799999999999997
171.0,15.897058823529411
173.0,16.73030303030303
175.0,18.396875
177.0,19.296774193548387
179.0,18.206666666666667
181.0,18.090625
183.0,18.661764705882355
185.0,17.809375000000003
187.0,17.73939393939394
189.0,19.763636363636362
191.0,22.42571428571428
193.0,20.896969696969702
195.0,18.265625000000004
197.0,20.722222222222225
199.0,20.11621621621622
201.0,22.308571428571426
203.0,22.16176470588235
205.0,24.426470588235293
207.0,24.918181818181818
209.0,22.339999999999996
211.0,22.90606060606061
213.0,18.880000000000003
215.0,18.672727272727272
217.0,16.31875
219.0,15.794117647058824
221.0,13.724242424242425
223.0,13.205882352941174
225.0,13.600000000000001
227.0,11.280000000000001
229.0,13.371428571428574
231.0,18.01428571428572
233.0,20.611764705882354
235.0,20.04666666666667
237.0,18.225
239.0,17.7
241.0,17.522222222222222
243.0,15.415999999999999
245.0,12.93913043478261
247.0,10.131818181818183
249.0,10.355
251.0,15.863636363636363
253.0,17.64090909090909
255.0,20.808695652173913
257.0,21.63478260869565
259.0,20.722727272727273
261.0,24.295238095238098
263.0,23.02105263157895
265.0,19.933333333333334
267.0,18.21578947368421
269.0,20.264999999999997
271.0,21.380952380952383
273.0,20.913636363636364
275.0,21.92857142857143
277.0,21.58095238095238
279.0,18.7
281.0,13.694999999999999
283.0,12.93333333333333
285.0,13.171428571428573
287.0,16.480000000000004
289.0,16.15
291.0,19.566666666666666
293.0,28.627777777777776
295.0,35.64090909090909
297.0,37.39545454545455
299.0,36.65714285714286
301.0,31.310000000000002
303.0,26.976190476190474
305.0,23.769565217391307
307.0,22.023999999999997
