time,calc_time
1.00,0.03
9.00,0.02
19.00,0.03
29.00,0.03
39.00,0.03
49.00,0.03
59.00,0.02
69.00,0.03
79.00,0.02
89.00,0.02
99.00,0.03
109.00,0.03
119.00,0.03
129.00,0.03
139.00,0.03
149.00,0.03
159.00,0.04
169.00,0.03
179.00,0.03
189.00,0.02
199.00,0.04
209.00,0.02
219.00,0.03
229.00,0.03
239.00,0.02
249.00,0.03
259.00,0.03
269.00,0.08
279.00,0.02
289.00,0.02
299.00,0.04
309.00,0.03
319.00,0.04
329.00,0.03
339.00,0.02
349.00,0.02
359.00,0.02
369.00,0.04
379.00,0.03
389.00,0.03
399.00,0.03
409.00,0.02
419.00,0.03
429.00,0.03
439.00,0.02
449.00,0.04
459.00,0.02
469.00,0.02
479.00,0.03
489.00,0.03
499.00,0.02
509.00,0.03
519.00,0.03
529.00,0.03
539.00,0.03
549.00,0.03
559.00,0.02
569.00,0.02
579.00,0.03
589.00,0.03
599.00,0.02
609.00,0.02
619.00,0.02
629.00,0.03
639.00,0.03
649.00,0.01
659.00,0.03
669.00,0.02
679.00,0.03
689.00,0.03
699.00,0.03
709.00,0.03
719.00,0.03
729.00,0.03
739.00,0.02
749.00,0.04
759.00,0.02
769.00,0.02
779.00,0.03
789.00,0.02
799.00,0.02
809.00,0.03
819.00,0.02
829.00,0.02
839.00,0.03
849.00,0.02
859.00,0.01
869.00,0.03
879.00,0.03
889.00,0.01
899.00,0.03
909.00,0.01
919.00,0.02
929.00,0.02
939.00,0.02
949.00,0.03
959.00,0.03
969.00,0.03
979.00,0.03
989.00,0.03
999.00,0.02
