time,delay
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.6
19.0,0.6
21.0,0.6
23.0,0.6
25.0,0.6
27.0,11.6
29.0,11.6
31.0,11.6
33.0,11.6
35.0,11.6
37.0,11.6
39.0,11.6
41.0,11.6
43.0,11.6
45.0,11.6
47.0,28.1
49.0,28.1
51.0,22.8
53.0,22.8
55.0,22.8
57.0,18.9
59.0,18.9
61.0,18.9
63.0,18.9
65.0,18.9
67.0,41.2
69.0,41.2
71.0,34.8
73.0,33.7
75.0,26.7
77.0,26.7
79.0,26.7
81.0,26.7
83.0,26.7
85.0,26.7
87.0,26.7
89.0,58.8
91.0,58.8
93.0,54.1
95.0,54.0
97.0,50.1
99.0,24.3
101.0,24.3
103.0,36.7
105.0,56.0
107.0,55.7
109.0,55.7
111.0,55.7
113.0,36.7
115.0,36.7
117.0,36.7
119.0,50.0
121.0,44.1
123.0,44.1
125.0,36.7
127.0,31.0
129.0,29.2
131.0,26.8
133.0,26.8
135.0,44.1
137.0,46.4
139.0,41.2
141.0,41.2
143.0,41.2
145.0,41.2
147.0,41.2
149.0,41.2
151.0,41.2
153.0,41.2
155.0,41.2
157.0,41.2
159.0,80.9
161.0,82.7
163.0,76.6
165.0,77.6
167.0,79.0
169.0,77.6
171.0,76.6
173.0,76.6
175.0,76.6
177.0,79.4
179.0,76.6
181.0,76.6
183.0,76.6
185.0,76.6
187.0,76.6
189.0,76.6
191.0,76.6
193.0,76.6
195.0,76.6
197.0,76.6
199.0,76.6
201.0,76.6
203.0,102.0
205.0,102.0
207.0,102.0
209.0,102.0
211.0,102.0
213.0,102.0
215.0,102.0
217.0,102.0
219.0,102.0
221.0,107.4
223.0,107.4
225.0,107.4
227.0,107.4
229.0,107.4
231.0,107.4
233.0,107.4
235.0,107.4
237.0,107.4
239.0,107.4
241.0,123.5
243.0,111.6
245.0,107.4
247.0,107.4
249.0,107.4
251.0,107.4
253.0,107.4
255.0,107.4
257.0,107.4
259.0,107.4
261.0,107.4
263.0,107.4
265.0,107.4
267.0,107.4
269.0,107.4
271.0,107.4
273.0,107.4
275.0,91.8
277.0,91.8
279.0,91.8
281.0,91.8
283.0,91.8
285.0,91.8
287.0,91.8
289.0,91.8
291.0,91.8
293.0,91.8
295.0,137.3
297.0,124.1
299.0,115.0
301.0,115.0
303.0,115.0
305.0,115.0
307.0,115.0
309.0,115.0
311.0,115.0
313.0,115.0
315.0,115.0
317.0,115.0
319.0,115.0
321.0,115.0
323.0,115.0
325.0,115.0
327.0,115.0
329.0,115.0
331.0,115.0
333.0,115.0
335.0,115.0
337.0,115.0
339.0,115.0
341.0,81.4
343.0,68.8
345.0,68.8
347.0,68.8
349.0,68.8
351.0,68.8
353.0,68.8
355.0,68.8
357.0,68.8
359.0,68.8
361.0,68.8
363.0,68.8
365.0,68.8
367.0,68.8
369.0,68.8
371.0,68.8
373.0,68.8
375.0,68.8
377.0,68.8
379.0,68.8
381.0,101.4
383.0,97.9
385.0,92.6
387.0,92.6
389.0,92.6
391.0,92.6
393.0,92.6
395.0,92.6
397.0,92.6
399.0,92.6
401.0,92.6
403.0,92.6
405.0,92.6
407.0,92.6
409.0,92.6
411.0,92.6
413.0,92.6
415.0,92.6
417.0,92.6
419.0,115.6
421.0,79.2
423.0,77.9
425.0,77.9
427.0,77.9
429.0,77.9
431.0,77.9
433.0,77.9
435.0,110.4
437.0,111.2
439.0,113.2
441.0,113.2
443.0,113.2
445.0,113.2
447.0,113.2
449.0,113.2
451.0,113.2
453.0,113.2
455.0,113.2
457.0,113.2
459.0,113.2
461.0,113.2
463.0,113.2
465.0,113.2
467.0,113.2
469.0,113.2
471.0,98.7
473.0,72.5
475.0,72.5
477.0,72.5
479.0,77.8
481.0,77.3
483.0,76.4
485.0,76.4
487.0,76.4
489.0,76.4
491.0,76.4
493.0,76.4
495.0,76.4
497.0,91.8
499.0,91.1
501.0,91.1
