time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,outflow,phase
1,0.00,0.00,0.00,0.00,43.94,0.00,1
3,0.00,0.00,0.00,0.00,46.82,0.00,1
5,0.00,0.00,0.00,0.00,53.72,0.00,1
7,0.00,0.00,0.00,0.00,56.68,0.00,1
9,0.00,0.00,0.00,0.00,59.89,0.00,1
11,0.00,0.00,0.00,0.00,60.44,0.00,1
13,0.00,0.00,0.00,0.00,58.93,0.00,1
15,0.00,0.00,0.04,0.51,54.55,1.00,1
17,0.00,0.00,0.01,0.10,49.56,1.00,1
19,0.00,0.00,0.20,1.24,39.47,1.00,1
21,1.07,4.27,0.53,3.24,34.72,0.00,1
23,2.18,4.75,0.99,5.24,32.16,1.00,3
25,3.13,7.79,1.47,7.24,28.62,0.00,3
27,4.88,14.77,2.13,9.24,29.59,1.00,3
29,6.17,19.95,2.24,11.07,33.06,0.00,3
31,5.02,15.34,3.19,13.07,30.74,1.00,3
33,4.20,6.84,3.93,15.07,25.90,0.00,3
35,6.30,10.93,4.98,17.07,22.37,0.00,3
37,8.31,10.91,6.30,19.07,23.55,0.00,2
39,11.48,13.62,7.63,21.07,20.96,1.00,2
41,12.71,18.75,8.41,23.07,22.46,0.00,2
43,14.74,28.86,9.58,25.07,22.04,2.00,2
45,14.54,31.65,7.72,23.28,20.94,2.00,2
47,12.44,23.28,6.85,25.28,21.73,1.00,2
49,8.91,15.30,7.48,27.28,15.87,1.00,2
51,11.98,20.15,8.36,29.28,14.39,2.00,2
53,14.16,23.93,8.85,31.28,15.66,1.00,4
55,15.63,23.69,8.89,33.28,19.77,0.00,4
57,15.71,23.69,9.88,35.28,22.20,0.00,4
59,13.90,23.69,10.88,37.28,25.63,2.00,4
61,11.81,23.69,6.77,31.86,23.61,1.00,1
63,10.68,23.69,6.78,33.86,20.26,0.00,1
65,10.34,23.69,7.61,35.86,27.64,1.00,1
67,11.60,23.68,8.09,37.86,33.06,2.00,1
69,7.38,16.30,6.78,24.48,36.91,1.00,1
71,1.94,4.69,6.03,23.67,39.51,1.00,1
73,2.59,5.71,4.89,20.25,38.73,2.00,1
75,2.59,5.69,3.24,19.95,33.30,0.00,1
77,2.59,5.69,4.08,21.95,28.47,0.00,1
79,2.59,5.69,4.91,23.95,26.98,1.00,1
81,4.09,11.70,5.40,25.95,22.58,1.00,1
